,English,English_cleaned,Spanish,French,German
0,france borders italy,france borders italy,francia limita con italia,la france borde l'italie,Frankreich grenzt an Italien
1,get back to the ship,get back to the ship,volver al barco,retourner au bateau,zurück zum Schiff
2,get in the back seat,get in the back seat,ponte en el asiento trasero,monter sur le siège arrière,auf den Rücksitz steigen
3,get out of my office,get out of my office,sal de mi oficina,sortir de mon bureau,Raus aus meinem Büro
4,get out of our house,get out of our house,salir de nuestra casa,sortir de chez nous,raus aus unserem Haus
5,get out of the truck,get out of the truck,salir del camión,sortir du camion,aus dem LKW aussteigen
6,get out of the water,get out of the water,sal del agua,sortir de l'eau,raus aus dem wasser
7,"get some sleep, okay",get some sleep  okay,duerme un poco bien,dors bien,Schlaf gut
8,get that book for me,get that book for me,tráeme ese libro,prends ce livre pour moi,Hol mir das Buch
9,girls aren't welcome,girls are not welcome,las chicas no son bienvenidas,les filles ne sont pas les bienvenues,Mädchen sind nicht willkommen
10,give a tissue to tom,give a tissue to tom,dale un pañuelo a tom,donner un mouchoir à Tom,Gib Tom ein Taschentuch
11,give me a day or two,give me a day or two,Dame un día o dos,donne moi un jour ou deux,Gib mir ein oder zwei Tage
12,give me a red pencil,give me a red pencil,dame un lápiz rojo,donne moi un crayon rouge,Gib mir einen Rotstift
13,give me the car keys,give me the car keys,dame las llaves del coche,donne moi les clés de la voiture,Gib mir die Autoschlüssel
14,give me the diamonds,give me the diamonds,dame los diamantes,donne moi les diamants,Gib mir die Diamanten
15,give me your address,give me your address,Dame tu dirección,donne-moi ton adresse,gib mir deine Adresse
16,give that back to me,give that back to me,devuélveme eso,rends-moi ça,gib mir das zurück
17,"give us a minute, ok",give us a minute  ok,danos un minuto ok,donne nous une minute d'accord,gib uns eine minute ok
18,"glad to see you, tom",glad to see you  tom,me alegro de verte tom,content de te voir tom,"Ich bin froh, dich zu sehen, Tom"
19,"go ahead, try it now",go ahead  try it now,adelante pruébalo ahora,allez-y essayez-le maintenant,Probieren Sie es jetzt aus
20,go and open the door,go and open the door,ve y abre la puerta,allez ouvrir la porte,Geh und öffne die Tür
