,English,English_cleaned,Spanish,French,German
0,tom began praying,tom began praying,tom comenzó a orar,Tom a commencé à prier,Tom begann zu beten
1,tom behaved badly,tom behaved badly,tom se porto mal,Tom s'est mal comporté,Tom hat sich schlecht benommen
2,tom bought a book,tom bought a book,tom compro un libro,Tom a acheté un livre,Tom hat ein Buch gekauft
3,tom broke his arm,tom broke his arm,Tom se rompió el brazo,Tom s'est cassé le bras,Tom hat sich den Arm gebrochen
4,tom called me fat,tom called me fat,Tom me llamó gordo,Tom m'a décrit comme gros,Tom hat mich fett genannt
5,tom came too late,tom came too late,tom llego demasiado tarde,tom est arrivé trop tard,Tom kam zu spät
6,tom can do better,tom can do better,tom puede hacerlo mejor,Tom peut mieux faire,Tom kann es besser
7,tom can't come in,tom cannot come in,tom no puede entrar,Tom ne peut pas entrer,Tom kann nicht hereinkommen
8,tom can't do that,tom cannot do that,tom no puede hacer eso,Tom ne peut pas faire ça,Tom kann das nicht
9,tom can't help me,tom cannot help me,tom no puede ayudarme,Tom ne peut pas m'aider,Tom kann mir nicht helfen
10,tom can't hurt me,tom cannot hurt me,Tom no puede lastimarme,Tom ne peut pas me faire de mal,Tom kann mir nicht weh tun
11,tom caught a fish,tom caught a fish,tom atrapó un pez,Tom a attrapé un poisson,Tom hat einen Fisch gefangen
12,tom claims he won,tom claims he won,tom afirma que ganó,Tom prétend qu'il a gagné,"Tom behauptet, er habe gewonnen"
13,tom could do that,tom could do that,tom podría hacer eso,Tom pourrait faire ça,Tom könnte das
14,tom despised mary,tom despised mary,tom despreciaba a mary,Tom méprisait Marie,Tom verachtete Maria
15,tom despises mary,tom despises mary,tom desprecia a mary,tom méprise marie,Tom verachtet Mary
16,tom didn't appear,tom did not appear,tom no apareció,Tom n'est pas apparu,Tom erschien nicht
17,tom didn't flinch,tom did not flinch,Tom no se inmutó,tom n'a pas bronché,Tom zuckte nicht zusammen
18,tom didn't scream,tom did not scream,Tom no gritó,Tom n'a pas crié,Tom schrie nicht
19,tom didn't see it,tom did not see it,tom no lo vio,tom ne l'a pas vu,Tom hat es nicht gesehen
20,tom does love you,tom does love you,tom te ama,Tom t'aime,Tom liebt dich
21,tom doesn't smoke,tom does not smoke,tom no fuma,tom ne fume pas,Tom raucht nicht
22,tom drinks coffee,tom drinks coffee,tom bebe cafe,Tom boit du café,Tom trinkt Kaffee
23,tom drives safely,tom drives safely,tom conduce con seguridad,tom conduit en toute sécurité,Tom fährt sicher
24,tom drives slowly,tom drives slowly,tom conduce despacio,tom conduit lentement,Tom fährt langsam
25,tom expects a lot,tom expects a lot,tom espera mucho,tom attend beaucoup,Tom erwartet viel
26,tom fed the horse,tom fed the horse,tom alimentó al caballo,Tom a nourri le cheval,Tom hat das Pferd gefüttert
27,tom gave me money,tom gave me money,tom me dio dinero,Tom m'a donné de l'argent,Tom hat mir Geld gegeben
28,tom had no choice,tom had no choice,tom no tuvo elección,Tom n'avait pas le choix,Tom hatte keine Wahl
29,tom has windows 7,tom has windows 7,tom tiene windows 7,tom a windows 7,Tom hat Windows 7
30,tom has a high iq,tom has a high iq,tom tiene un coeficiente intelectual alto,Tom a un QI élevé,Tom hat einen hohen iq
31,tom has allergies,tom has allergies,tom tiene alergias,Tom a des allergies,Tom hat Allergien
32,tom has an iphone,tom has an iphone,tom tiene un iphone,tom a un iphone,Tom hat ein iPhone
33,tom has blue eyes,tom has blue eyes,tom tiene ojos azules,Tom a les yeux bleus,Tom hat blaue Augen
34,tom has dark skin,tom has dark skin,tom tiene la piel oscura,Tom a la peau foncée,Tom hat dunkle Haut
35,tom has frostbite,tom has frostbite,Tom tiene congelación,Tom a des engelures,Tom hat Erfrierungen
36,tom has long arms,tom has long arms,tom tiene brazos largos,Tom a de longs bras,Tom hat lange Arme
37,tom has many toys,tom has many toys,tom tiene muchos juguetes,tom a beaucoup de jouets,Tom hat viele Spielsachen
38,tom hasn't called,tom has not called,tom no ha llamado,Tom n'a pas appelé,Tom hat nicht angerufen
39,tom hates to lose,tom hates to lose,tom odia perder,tom déteste perdre,Tom hasst es zu verlieren
40,tom helped us all,tom helped us all,tom nos ayudó a todos,Tom nous a tous aidés,Tom hat uns allen geholfen
41,tom imitated mary,tom imitated mary,tom imitó a mary,Tom a imité Marie,Tom imitierte Maria
42,tom is mary's son,tom is mary s son,tom es el hijo de mary,tom est le fils de marie,Tom ist Marias Sohn
43,tom is a bachelor,tom is a bachelor,tom es soltero,Tom est célibataire,Tom ist Junggeselle
44,tom is a good man,tom is a good man,tom es un buen hombre,Tom est un homme bon,Tom ist ein guter Mann
45,tom is a jeweller,tom is a jeweller,tom es joyero,tom est bijoutier,Tom ist Juwelier
46,tom is a pushover,tom is a pushover,Tom es un presa fácil,Tom est un jeu d'enfant,Tom ist ein Schwächling
47,tom is a teenager,tom is a teenager,tom es un adolescente,Tom est un adolescent,Tom ist ein Teenager
48,tom is aggressive,tom is aggressive,tom es agresivo,tom est agressif,Tom ist aggressiv
49,"tom is alone, too",tom is alone  too,tom también está solo,tom est seul aussi,Tom ist auch allein
50,tom is an old man,tom is an old man,tom es un anciano,Tom est un vieil homme,Tom ist ein alter Mann
51,tom is doing fine,tom is doing fine,Tom está bien,tom va bien,Tom geht es gut
