,English,English_cleaned,Spanish,French,German
0,that's the message,that is the message,ese es el mensaje,c'est le message,das ist die Botschaft
1,that's the problem,that is the problem,ese es el problema,c'est le problème,Das ist das Problem
2,that's the reality,that is the reality,esa es la realidad,c'est la réalité,das ist die realität
3,that's true enough,that is true enough,eso es bastante cierto,c'est assez vrai,das ist wahr genug
4,that's unimportant,that is unimportant,eso no es importante,c'est sans importance,das ist unwichtig
5,that's unrealistic,that is unrealistic,eso es poco realista,c'est irréaliste,das ist unrealistisch
6,that's very clever,that is very clever,eso es muy inteligente,c'est très astucieux,das ist sehr geschickt
7,that's what i hope,that is what i hope,eso es lo que espero,c'est ce que j'espère,das hoffe ich
8,that's what i wish,that is what i wish,eso es lo que deseo,c'est ce que je souhaite,das wünsche ich mir
9,that's what counts,that is what counts,eso es lo que cuenta,c'est ce qui compte,darauf kommt es an
10,that's what we saw,that is what we saw,eso es lo que vimos,c'est ce que nous avons vu,das haben wir gesehen
11,that's why tom won,that is why tom won,por eso ganó tom,c'est pourquoi tom a gagné,Deshalb hat Tom gewonnen
12,that's your choice,that is your choice,esa es tu decisión,c'est ton choix,das ist deine Wahl
13,the air seems damp,the air seems damp,el aire parece húmedo,l'air semble humide,die Luft scheint feucht
14,the alarm went off,the alarm went off,la alarma se apagó,l'alarme s'est éteinte,Der Alarm ging aus
15,the answer was yes,the answer was yes,la respuesta fue si,la réponse était oui,die antwort war ja
16,the apples are red,the apples are red,las manzanas son rojas,Les pommes sont rouges,die Äpfel sind rot
17,the area was quiet,the area was quiet,la zona estaba tranquila,le quartier était calme,Die Gegend war ruhig
18,the attempt failed,the attempt failed,el intento fracasó,la tentative a échoué,der Versuch scheiterte
19,the baby is asleep,the baby is asleep,el bebe esta dormido,le bébé dort,das baby schläft
20,the baby is crying,the baby is crying,el bebe esta llorando,le bébé est en train de pleurer,das Baby weint
21,the baby was naked,the baby was naked,el bebe estaba desnudo,le bébé était nu,das Baby war nackt
22,the bar was packed,the bar was packed,el bar estaba lleno,le bar était bondé,Die Bar war voll
23,the battery's dead,the battery s dead,La batería está muerta,La batterie est morte,Die Batterie ist leer
24,the beach is empty,the beach is empty,la playa esta vacia,la plage est vide,Der Strand ist leer
25,the bird flew away,the bird flew away,el pájaro se fue volando,l'oiseau s'est envolé,der Vogel flog davon
26,the bottle is full,the bottle is full,la botella esta llena,la bouteille est pleine,die Flasche ist voll
27,the boy is thirsty,the boy is thirsty,el chico tiene sed,le garçon a soif,der Junge hat Durst
28,the boy was silent,the boy was silent,el chico estaba en silencio,le garçon était silencieux,der Junge schwieg
29,the bread is stale,the bread is stale,el pan esta rancio,le pain est rassis,das Brot ist altbacken
30,the car broke down,the car broke down,El coche se ha averiado,La voiture est en panne,Das Auto ist kaputt gegangen
31,the car hit a tree,the car hit a tree,el auto golpeo un arbol,la voiture a heurté un arbre,das Auto prallte gegen einen Baum
32,the case is closed,the case is closed,el caso esta cerrado,l'affaire est close,der Fall ist abgeschlossen
33,the chance is gone,the chance is gone,la oportunidad se ha ido,la chance est partie,die Chance ist weg
34,the child is dirty,the child is dirty,el niño está sucio,l'enfant est sale,Das Kind ist schmutzig
35,the clock says two,the clock says two,el reloj dice dos,l'horloge indique deux,Die Uhr zeigt zwei
36,the coast is clear,the coast is clear,la costa está clara,la côte est dégagée,Die Küste ist klar
37,the coffee is cold,the coffee is cold,el cafe esta frio,le café est froid,der Kaffee ist kalt
38,the crow flew away,the crow flew away,el cuervo se fue volando,le corbeau s'est envolé,die Krähe flog davon
39,the damage is done,the damage is done,el daño está hecho,le mal est fait,der Schaden ist angerichtet
40,the danger is over,the danger is over,el peligro ha terminado,le danger est passé,die Gefahr ist vorüber
41,the dog is panting,the dog is panting,el perro esta jadeando,le chien halète,der Hund hechelt
42,the dog looks sick,the dog looks sick,el perro parece enfermo,le chien a l'air malade,der hund sieht krank aus
43,the door blew open,the door blew open,la puerta se abrió de golpe,la porte s'est ouverte,die Tür flog auf
44,the door blew shut,the door blew shut,la puerta se cerró,la porte s'est refermée,die Tür flog zu
45,the door is closed,the door is closed,la puerta está cerrada,la porte est fermée,die Tür ist geschlossen
46,the door is locked,the door is locked,La puerta está cerrada,la porte est verrouillée,die Tür ist verschlossen
47,the doorknob broke,the doorknob broke,el pomo de la puerta se rompió,la poignée de porte s'est cassée,der Türknauf brach
48,the doors are open,the doors are open,las puertas estan abiertas,les portes sont ouvertes,die Türen sind offen
49,the doors are shut,the doors are shut,las puertas estan cerradas,les portes sont fermées,die Türen sind geschlossen
50,the earth is round,the earth is round,la tierra es redonda,la terre est ronde,Die Erde ist rund
51,the flame went out,the flame went out,la llama se apagó,la flamme s'est éteinte,die Flamme erlosch
52,the floor gave way,the floor gave way,el piso cedió,le sol a cédé,der Boden gab nach
53,the floor is muddy,the floor is muddy,el suelo esta embarrado,le sol est boueux,der Boden ist matschig
54,the fog has lifted,the fog has lifted,la niebla se ha levantado,le brouillard s'est levé,der Nebel hat sich verzogen
55,the fruit went bad,the fruit went bad,la fruta se puso mala,le fruit a mal tourné,das Obst wurde schlecht
56,the fuse has blown,the fuse has blown,el fusible se ha quemado,le fusible a sauté,die Sicherung ist durchgebrannt
57,the girl is lonely,the girl is lonely,la chica esta sola,la fille est seule,das Mädchen ist einsam
58,the glass is dirty,the glass is dirty,el vidrio esta sucio,le verre est sale,das Glas ist schmutzig
59,the glass is empty,the glass is empty,el vaso esta vacio,le verre est vide,das Glas ist leer
60,the house is clean,the house is clean,la casa esta limpia,la maison est propre,Das Haus ist sauber
61,the house is empty,the house is empty,la casa esta vacia,la maison est vide,das Haus ist leer
62,the house is white,the house is white,la casa es blanca,la maison est blanche,Das Haus ist weiß
63,the ice has melted,the ice has melted,el hielo se ha derretido,la glace a fondu,das Eis ist geschmolzen
64,the ice is melting,the ice is melting,El hielo se está derritiendo,la glace fond,das Eis schmilzt
65,the idea isn't bad,the idea is not bad,la idea no es mala,l'idée est pas mal,die idee ist nicht schlecht
66,the king is coming,the king is coming,el rey viene,le roi arrive,der König kommt
67,the lake is frozen,the lake is frozen,el lago esta congelado,le lac est gelé,der See ist zugefroren
68,the law is the law,the law is the law,La ley es la ley,la loi est la loi,das gesetz ist das gesetz
69,the light is green,the light is green,la luz es verde,le feu est vert,das Licht ist grün
70,the light went out,the light went out,la luz se apagó,La lumière s'éteignit,Das Licht ging aus
71,the lights are out,the lights are out,las luces están apagadas,les lumières sont éteintes,die Lichter sind aus
72,the lock is broken,the lock is broken,El candado está roto,Le verrou est cassé,Das Schloss ist kaputt
73,the meat is frozen,the meat is frozen,la carne esta congelada,la viande est congelée,das Fleisch ist gefroren
74,the men go to work,the men go to work,los hombres van a trabajar,les hommes vont travailler,Die Männer gehen zur Arbeit
75,the milk went sour,the milk went sour,la leche se agrio,le lait est devenu aigre,die Milch wurde sauer
76,the moon is bright,the moon is bright,la luna es brillante,la lune est brillante,der Mond ist hell
77,the night is young,the night is young,La noche es joven,la nuit ne fait que commencer,die Nacht ist jung
78,the night was cool,the night was cool,la noche estaba fresca,la nuit était fraîche,Die Nacht war kühl
79,the ocean was calm,the ocean was calm,el océano estaba en calma,l'océan était calme,das Meer war ruhig
80,the old dog barked,the old dog barked,el perro viejo ladró,le vieux chien a aboyé,bellte der alte Hund
81,the only way is up,the only way is up,la única vía es hacia arriba,le seul chemin est vers le haut,Der einzige Weg ist nach oben
82,the paint's drying,the paint s drying,la pintura se está secando,la peinture sèche,die Farbe trocknet
83,the paper is white,the paper is white,el papel es blanco,le papier est blanc,das Papier ist weiß
84,the parrot is dead,the parrot is dead,el loro esta muerto,le perroquet est mort,der Papagei ist tot
85,the path is direct,the path is direct,el camino es directo,le chemin est direct,Der Weg ist direkt
86,the place is empty,the place is empty,el lugar esta vacio,l'endroit est vide,der platz ist leer
87,the plan backfired,the plan backfired,el plan fracasó,le plan a échoué,der Plan ging nach hinten los
