,English,English_cleaned,Spanish,French,German
0,tom doesn't love me,tom does not love me,Tom no me ama,tom ne m'aime pas,Tom liebt mich nicht
1,tom doesn't need it,tom does not need it,tom no lo necesita,tom n'en a pas besoin,Tom braucht es nicht
2,tom doesn't need me,tom does not need me,tom no me necesita,tom n'a pas besoin de moi,Tom braucht mich nicht
3,tom drinks a little,tom drinks a little,tom bebe un poco,tom boit un peu,Tom trinkt ein wenig
4,tom drinks too much,tom drinks too much,tom bebe demasiado,tom boit trop,Tom trinkt zu viel
5,tom drives too fast,tom drives too fast,tom conduce demasiado rápido,tom roule trop vite,Tom fährt zu schnell
6,tom eats like a pig,tom eats like a pig,tom come como un cerdo,tom mange comme un cochon,Tom frisst wie ein Schwein
7,tom encouraged mary,tom encouraged mary,tom animó a mary,tom a encouragé marie,Tom ermutigte Maria
8,tom felt invincible,tom felt invincible,Tom se sintió invencible,tom se sentait invincible,Tom fühlte sich unbesiegbar
9,tom felt very tired,tom felt very tired,tom se sentía muy cansado,Tom se sentait très fatigué,Tom fühlte sich sehr müde
10,tom forced me to go,tom forced me to go,Tom me obligó a ir,tom m'a forcé à y aller,Tom hat mich gezwungen zu gehen
11,tom found me a taxi,tom found me a taxi,tom me encontró un taxi,Tom m'a trouvé un taxi,Tom hat mir ein Taxi besorgt
12,tom found something,tom found something,Tom encontró algo,Tom a trouvé quelque chose,Tom hat etwas gefunden
13,tom gave up smoking,tom gave up smoking,tom dejo de fumar,Tom a arrêté de fumer,Tom hat das Rauchen aufgegeben
14,tom gets up at 6:30,tom gets up at 6 30,tom se levanta a las 6 30,tom se lève à 6h30,Tom steht um 6 30 auf
15,tom had a rough day,tom had a rough day,Tom tuvo un día difícil,Tom a eu une dure journée,Tom hatte einen harten Tag
16,tom had no children,tom had no children,tom no tuvo hijos,tom n'avait pas d'enfant,Tom hatte keine Kinder
17,tom had two choices,tom had two choices,Tom tenía dos opciones,tom avait deux choix,Tom hatte zwei Möglichkeiten
18,tom has a bald spot,tom has a bald spot,tom tiene calva,tom a une calvitie,Tom hat eine kahle Stelle
19,tom has a big house,tom has a big house,tom tiene una casa grande,tom a une grande maison,Tom hat ein großes Haus
20,tom has a big mouth,tom has a big mouth,tom tiene una boca grande,tom a une grande gueule,Tom hat eine große Klappe
21,tom has a great car,tom has a great car,tom tiene un gran coche,tom a une super voiture,Tom hat ein tolles Auto
22,tom has a long neck,tom has a long neck,tom tiene un cuello largo,tom a un long cou,Tom hat einen langen Hals
23,tom has a pacemaker,tom has a pacemaker,tom tiene un marcapasos,Tom a un stimulateur cardiaque,Tom hat einen Herzschrittmacher
24,tom has a white dog,tom has a white dog,tom tiene un perro blanco,tom a un chien blanc,Tom hat einen weißen Hund
25,tom has another job,tom has another job,tom tiene otro trabajo,Tom a un autre travail,Tom hat einen anderen Job
26,tom has betrayed me,tom has betrayed me,tom me ha traicionado,tom m'a trahi,Tom hat mich verraten
27,tom has calmed down,tom has calmed down,tom se ha calmado,tom s'est calmé,Tom hat sich beruhigt
28,tom has dirty hands,tom has dirty hands,tom tiene las manos sucias,tom a les mains sales,Tom hat dreckige Hände
29,tom has met someone,tom has met someone,tom ha conocido a alguien,Tom a rencontré quelqu'un,Tom hat jemanden kennengelernt
30,tom has passed away,tom has passed away,Tom ha fallecido,Tom est décédé,Tom ist verstorben
31,tom has tonsillitis,tom has tonsillitis,tom tiene amigdalitis,Tom a une amygdalite,Tom hat Mandelentzündung
32,tom hasn't met mary,tom has not met mary,tom no ha conocido a mary,tom n'a pas rencontré mary,Tom hat Mary nicht getroffen
33,tom hates christmas,tom hates christmas,tom odia la navidad,tom déteste noël,Tom hasst Weihnachten
34,tom hates halloween,tom hates halloween,tom odia halloween,tom déteste halloween,Tom hasst Halloween
35,tom hates the rules,tom hates the rules,tom odia las reglas,Tom déteste les règles,Tom hasst die Regeln
36,tom heard the sound,tom heard the sound,tom escuchó el sonido,Tom a entendu le son,Tom hörte das Geräusch
37,tom held his breath,tom held his breath,tom contuvo la respiración,tom a retenu son souffle,Tom hielt den Atem an
38,tom helped us a lot,tom helped us a lot,tom nos ayudó mucho,Tom nous a beaucoup aidé,Tom hat uns sehr geholfen
39,tom hit rock bottom,tom hit rock bottom,tom toco fondo,tom a touché le fond,Tom erreichte den Tiefpunkt
40,tom is ok with that,tom is ok with that,Tom está bien con eso,Tom est d'accord avec ça,tom ist damit einverstanden
41,tom is a biochemist,tom is a biochemist,tom is a biochemist,tom est un biochimiste,Tom ist Biochemiker
42,tom is a con artist,tom is a con artist,Tom es un estafador,tom est un escroc,Tom ist ein Betrüger
43,tom is a daydreamer,tom is a daydreamer,Tom es un soñador,tom est un rêveur,Tom ist ein Tagträumer
44,tom is a good diver,tom is a good diver,Tom es un buen buzo,tom est un bon plongeur,Tom ist ein guter Taucher
45,tom is a journalist,tom is a journalist,Tom es periodista,tom est journaliste,Tom ist Journalist
