,English,English_cleaned,Spanish,French,German
0,it was so good,it was so good,fue muy bueno,c'était trop bien,es war so gut
1,it was working,it was working,estaba funcionando,ça fonctionnait,es funktionierte
2,it wasn't easy,it was not easy,no fue fácil,Ce n'était pas facile,es war nicht einfach
3,it wasn't luck,it was not luck,no fue suerte,ce n'était pas de la chance,es war kein Glück
4,it wasn't mine,it was not mine,no era mio,ce n'était pas le mien,es war nicht meins
5,it'll work now,it will work now,funcionará ahora,ça va marcher maintenant,es wird jetzt funktionieren
6,it's christmas,it is christmas,Es navidad,c'est Noël,es ist weihnachten
7,it's wednesday,it is wednesday,es miércoles,c'est mercredi,es ist Mittwoch
8,it's a bargain,it is a bargain,es una ganga,c'est une bonne affaire,Es ist ein Schnäppchen
9,it's a big one,it is a big one,es uno grande,c'est un grand,es ist ein großes
10,it's a classic,it is a classic,es un clasico,c'est un classique,es ist ein klassiker
11,it's a miracle,it is a miracle,esto es un milagro,c'est un miracle,es ist ein Wunder
12,it's a mistake,it is a mistake,Es un error,c'est une erreur,Es ist ein Fehler
13,it's a problem,it is a problem,Es un problema,c'est un problème,es ist ein Problem
14,it's all clear,it is all clear,esta todo claro,tout est clair,es ist alles klar
15,it's all right,it is all right,Está bien,Tout va bien,es ist alles in Ordnung
16,it's all there,it is all there,esta todo ahi,tout est là,es ist alles da
17,it's all white,it is all white,es todo blanco,c'est tout blanc,es ist alles weiß
18,it's all wrong,it is all wrong,todo está mal,tout est faux,es ist alles falsch
19,it's all yours,it is all yours,es todo tuyo,c'est tout à toi,es ist alles deins
20,it's an ambush,it is an ambush,es una emboscada,c'est une embuscade,es ist ein Hinterhalt
21,it's an excuse,it is an excuse,es una excusa,c'est un prétexte,es ist eine Ausrede
22,it's beautiful,it is beautiful,es hermoso,C'est beau,es ist schön
23,it's beyond me,it is beyond me,está más allá de mí,ça me dépasse,es ist mir ein Rätsel
24,it's brand new,it is brand new,es nuevo,c'est tout neuf,es ist ganz neu
25,it's cold here,it is cold here,hace frío aquí,il fait froid ici,es ist kalt hier
26,it's dangerous,it is dangerous,es peligroso,c'est dangereux,es ist gefährlich
27,it's different,it is different,es diferente,c'est différent,es ist anders
28,it's dishonest,it is dishonest,es deshonesto,c'est malhonnête,es ist unehrlich
29,it's expensive,it is expensive,es caro,il est coûteux,es ist teuer
30,it's forbidden,it is forbidden,esta prohibido,c'est interdit,es ist verboten
31,it's important,it is important,es importante,C'est important,es ist wichtig
32,it's inspiring,it is inspiring,es inspirador,c'est inspirant,es ist inspirierend
33,it's no secret,it is no secret,no es ningún secreto,Ce n'est pas un secret,Es ist kein Geheimnis
34,it's not a dog,it is not a dog,no es un perro,ce n'est pas un chien,es ist kein hund
35,it's not funny,it is not funny,no es gracioso,ce n'est pas drôle,es ist nicht lustig
36,it's not right,it is not right,no está bien,Ce n'est pas correct,es ist nicht richtig
37,it's not weird,it is not weird,no es raro,ce n'est pas bizarre,es ist nicht seltsam
38,it's our fault,it is our fault,es nuestra culpa,c'est notre faute,es ist unsere schuld
39,it's redundant,it is redundant,es redundante,c'est redondant,es ist überflüssig
40,it's revolting,it is revolting,es repugnante,c'est révoltant,es ist abstoßend
41,it's safe here,it is safe here,es seguro aquí,c'est sûr ici,hier ist es sicher
42,it's so pretty,it is so pretty,es tan bonito,c'est tellement joli,es ist so hübsch
43,it's the truth,it is the truth,es la verdad,c'est la vérité,es ist die Wahrheit
44,it's this book,it is this book,es este libro,c'est ce livre,es ist dieses Buch
45,it's too early,it is too early,Es demasiado temprano,c'est trop tôt,es ist zu früh
46,it's too large,it is too large,es demasiado grande,c'est trop grand,es ist zu groß
47,it's too quiet,it is too quiet,es demasiado silencioso,c'est trop calme,es ist zu leise
48,it's too risky,it is too risky,es demasiado arriesgado,c'est trop risqué,es ist zu riskant
49,it's too small,it is too small,es demasiado pequeño,c'est trop petit,es ist zu klein
50,it's undamaged,it is undamaged,esta intacto,il est intact,es ist unbeschädigt
51,it's up to you,it is up to you,es tu decision,C'est comme tu veux,es liegt an dir
52,it's very cold,it is very cold,hace mucho frío,il fait très froid,es ist sehr kalt
53,it's very dark,it is very dark,es muy oscuro,il est très sombre,Es ist sehr dunkel
