,English,English_cleaned,Spanish,French,German
0,you can study here,you can study here,puedes estudiar aqui,tu peux étudier ici,hier kannst du studieren
1,you can talk later,you can talk later,puedes hablar más tarde,tu peux parler plus tard,du kannst später reden
2,you can trust them,you can trust them,puedes confiar en ellos,vous pouvez leur faire confiance,du kannst ihnen vertrauen
3,you can't back out,you cannot back out,no puedes retroceder,tu ne peux pas reculer,du kannst nicht zurücktreten
4,you can't blame me,you cannot blame me,no me puedes culpar,tu ne peux pas me blâmer,du kannst mir keinen Vorwurf machen
5,you can't complain,you cannot complain,no puedes quejarte,tu ne peux pas te plaindre,du kannst dich nicht beschweren
6,you can't eat here,you cannot eat here,no puedes comer aqui,vous ne pouvez pas manger ici,Sie können hier nicht essen
7,you can't get both,you cannot get both,no puedes conseguir ambos,vous ne pouvez pas obtenir les deux,du kannst nicht beides bekommen
8,you can't go alone,you cannot go alone,no puedes ir solo,tu ne peux pas y aller seul,du kannst nicht alleine gehen
9,you can't go there,you cannot go there,no puedes ir allí,tu ne peux pas y aller,Sie können nicht dorthin gehen
10,you can't leave me,you cannot leave me,usted no me puede dejar,tu ne peux pas me quitter,Du kannst mich nicht verlassen
11,you can't quit now,you cannot quit now,no puedes renunciar ahora,tu ne peux pas arrêter maintenant,Du kannst jetzt nicht aufhören
12,you can't say that,you cannot say that,No puedes decir eso,tu ne peux pas dire ça,das kannst du nicht sagen
13,you can't use this,you cannot use this,no puedes usar esto,vous ne pouvez pas utiliser ceci,Sie können dies nicht verwenden
14,you cannot do this,you cannot do this,no puedes hacer esto,tu ne peux pas faire ça,du kannst das nicht machen
15,you didn't warn me,you did not warn me,no me avisaste,tu ne m'as pas prévenu,du hast mich nicht gewarnt
16,you don't scare me,you do not scare me,usted no me asusta,tu ne me fais pas peur,Du machst mir keine Angst
17,you freaked me out,you freaked me out,me asustaste,tu m'as fait flipper,du hast mich erschreckt
18,you get used to it,you get used to it,te acostumbras,tu t'y habitues,man gewöhnt sich daran
19,you guys are weird,you guys are weird,"chicos, ustedes son raros",vous êtes bizarre,ihr seid komisch
20,you guys look lost,you guys look lost,pareceis perdidos,vous avez l'air perdu,ihr seht verloren aus
21,you guys wait here,you guys wait here,ustedes esperen aquí,vous les gars attendez ici,ihr wartet hier
22,you had a long day,you had a long day,tuviste un día largo,tu as eu une longue journée,Du hattest einen langen Tag
23,you have a message,you have a message,tienes un mensaje,vous avez un message,Sie haben eine Nachricht
24,you have been busy,you have been busy,has estado ocupado,vous avez été occupé,du warst beschäftigt
25,you have cute eyes,you have cute eyes,tienes ojos lindos,tu as de jolis yeux,du hast süße augen
26,you have no choice,you have no choice,no tienes elección,tu n'as pas le choix,du hast keine Wahl
27,you have to get up,you have to get up,tienes que levantarte,tu dois te lever,du musst aufstehen
28,you have to resign,you have to resign,tienes que renunciar,tu dois démissionner,du musst kündigen
29,you have to see it,you have to see it,Tienes que verlo,Tu dois voir ça,das musst du sehen
30,you have two balls,you have two balls,tienes dos bolas,tu as deux balles,Du hast zwei Eier
31,you intimidate tom,you intimidate tom,intimidas a tom,tu intimides tom,Du schüchterst Tom ein
32,you just need help,you just need help,solo necesitas ayuda,tu as juste besoin d'aide,du brauchst nur hilfe
33,you know i'm wrong,you know i am wrong,sabes que estoy equivocado,tu sais que j'ai tort,"Du weißt, dass ich falsch liege"
34,you know how it is,you know how it is,tú sabes cómo es,tu sais comment c'est,du weisst wie das ist
35,you know the drill,you know the drill,ya sabes que hacer,Vous connaissez le refrain,Du kennst die Übung
36,you know the rules,you know the rules,sabes las reglas,tu connais les règles,du kennst die Regeln
37,you like elephants,you like elephants,te gustan los elefantes,tu aimes les éléphants,Du magst Elefanten
38,you look contented,you look contented,te ves contento,tu as l'air content,du siehst zufrieden aus
39,you look just fine,you look just fine,te ves muy bien,tu as l'air très bien,du siehst einfach gut aus
40,you look sad today,you look sad today,te ves triste hoy,tu as l'air triste aujourd'hui,Du siehst heute traurig aus
41,you look satisfied,you look satisfied,te ves satisfecho,tu as l'air satisfait,du siehst zufrieden aus
42,you look surprised,you look surprised,te ves sorprendido,tu as l'air surpris,du siehst überrascht aus
43,you look very good,you look very good,Te ves muy bien,tu sembles être en forme,du siehst sehr gut aus
