,English,English_cleaned,Spanish,French,German
0,you're the best,you are the best,Eress el mejor,tu es le meilleur,Du bist der beste
1,you're the boss,you are the boss,tú eres el jefe,tu es le patron,du bist der Boss
2,you're to blame,you are to blame,usted es el culpable,tu es à blâmer,du bist schuld
3,you're too loud,you are too loud,Eres muy ruidoso,tu es trop bruyant,du bist zu laut
4,you're too slow,you are too slow,tu eres muy lento,Vous êtes trop lent,Du bist zu langsam
5,you're too tall,you are too tall,eres demasiado alto,tu es trop grand,du bist zu groß
6,you're too weak,you are too weak,eres demasiado débil,tu es trop faible,du bist zu schwach
7,you're unbiased,you are unbiased,eres imparcial,tu es impartial,du bist unvoreingenommen
8,you're up early,you are up early,te has levantado temprano,tu es levé tôt,Du bist früh wach
9,you're very shy,you are very shy,eres muy tímido,tu es très timide,du bist sehr schüchtern
10,you've been had,you have been had,te han tenido,tu as été eu,du wurdest gehabt
11,you've found it,you have found it,lo has encontrado,tu l'as trouvé,du hast es gefunden
12,your cat is fat,your cat is fat,tu gato es gordo,ton chat est gros,deine katze ist fett
13,your time is up,your time is up,Tu tiempo se ha acabado,votre temps est écoulé,Ihre Zeit ist abgelaufen
14,yours is better,yours is better,la suya es mejor,le tien est mieux,Deins ist besser
15,5 is less than 8,5 is less than 8,5 es menos que 8,5 est inférieur à 8,5 ist weniger als 8
16,"look, she said",look  she said,mira ella dijo,regarde elle a dit,"schau, sagte sie"
17,a bird has wings,a bird has wings,un pájaro tiene alas,un oiseau a des ailes,Ein Vogel hat Flügel
18,a cab is waiting,a cab is waiting,un taxi está esperando,un taxi attend,ein Taxi wartet
19,a cop was killed,a cop was killed,un policía fue asesinado,un flic a été tué,ein Polizist wurde getötet
20,a deal is a deal,a deal is a deal,un trato es un trato,un accord est un accord,ein Deal ist ein Deal
21,a dog is barking,a dog is barking,un perro ladra,un chien aboie,ein Hund bellt
22,a fuse has blown,a fuse has blown,se ha fundido un fusible,un fusible a sauté,eine Sicherung ist durchgebrannt
23,a girl phoned me,a girl phoned me,una chica me llamó,une fille m'a téléphoné,ein Mädchen hat mich angerufen
24,accidents happen,accidents happen,los accidentes ocurren,les accidents arrivent,Unfälle passieren
25,air is invisible,air is invisible,el aire es invisible,l'air est invisible,Luft ist unsichtbar
26,all are welcomed,all are welcomed,todos son bienvenidos,tous sont les bienvenus,alle sind willkommen
27,all hope is gone,all hope is gone,ya no hay esperanza,Tout espoir est perdu,Alle Hoffnung ist verloren
28,all men must die,all men must die,todos los hombres deben morir,Tous les hommes doivent mourir,alle Männer müssen sterben
29,all of them died,all of them died,todos ellos murieron,tous sont morts,alle starben
30,answer the phone,answer the phone,contestar el teléfono,repond au telephone,das Telefon beantworten
31,any book will do,any book will do,cualquier libro servirá,n'importe quel livre fera l'affaire,jedes Buch tut es
32,anybody knows it,anybody knows it,alguien lo sabe,quelqu'un le sait,jeder kennt es
33,anyone can do it,anyone can do it,cualquiera puede hacerlo,n'importe qui peut le faire,jeder kann das
34,are they friends,are they friends,son amigos,sont-ils amis,sind sie Freunde
35,are they in love,are they in love,¿Están enamorados?,sont-ils amoureux,sind sie verliebt
36,are those for me,are those for me,esos son para mi,sont ceux pour moi,sind das für mich
37,are we all happy,are we all happy,somos todos felices,sommes-nous tous heureux,sind wir alle glücklich
38,are we done here,are we done here,¿Hemos terminado aquí?,avons-nous fini ici,sind wir hier fertig
39,are we going far,are we going far,vamos lejos,allons-nous loin,gehen wir weit
40,are we safe here,are we safe here,¿Estamos seguros aquí?,sommes-nous en sécurité ici,Sind wir hier sicher?
41,are you catholic,are you catholic,eres catolico,Etes vous catholique,bist Du katholisch
42,are you japanese,are you japanese,Eres japonés,êtes-vous des Japonais,Bist du Japaner
43,are you a doctor,are you a doctor,eres un doctor,Etes-vous un docteur,sind Sie ein Arzt
44,are you a golfer,are you a golfer,eres golfista,êtes-vous un golfeur,Bist du ein Golfer?
45,are you a lawyer,are you a lawyer,Eres un abogado,êtes vous avocat,bist du ein Anwalt
46,are you a maniac,are you a maniac,eres un maníaco,es-tu un maniaque,bist du ein Verrückter
47,are you a racist,are you a racist,eres racista,es-tu raciste,bist du ein rassist
48,are you a singer,are you a singer,Eres un cantante,es-tu un chanteur,Bist du ein Sänger
49,are you a typist,are you a typist,eres mecanógrafo,es-tu dactylographe,bist du schreibkraft
50,are you a wizard,are you a wizard,Eres un mago,es-tu un sorcier,bist du ein Zauberer
51,are you all nuts,are you all nuts,¿Estás loco?,êtes-vous tous fous,seid ihr alle verrückt
52,are you an idiot,are you an idiot,eres un idiota,Es-tu un idiot,Bist du ein Idiot
53,are you blushing,are you blushing,estas sonrojada,rougis-tu,wirst du rot?
54,are you brothers,are you brothers,Son ustedes hermanos,êtes-vous frères,Seid ihr Brüder
55,are you busy now,are you busy now,Estás ocupado,est-tu occupé maintenant,bist du jetzt beschäftigt
56,are you drinking,are you drinking,Estas bebiendo,bois tu,Trinkt ihr
57,are you dyslexic,are you dyslexic,¿Eres disléxico?,es-tu dyslexique,Bist du Legastheniker?
58,are you finished,are you finished,¿has terminado?,avez-vous fini,bist du fertig
59,are you for real,are you for real,de verdad,Es-tu sérieux,bist du dir sicher
60,are you free now,are you free now,Estás libre ahora,Es-tu libre maintenant,bist du jetzt frei
61,are you homeless,are you homeless,¿Estás sin hogar?,es-tu sans abri,bist du obdachlos
62,are you in paris,are you in paris,estás en Paris,êtes-vous à Paris,Bist du in Paris
63,are you new here,are you new here,eres nuevo aquí,êtes-vous nouveau ici,sind Sie neu hier
64,are you on crack,are you on crack,Estás en la grieta,êtes-vous sur le crack,Bist du auf Crack
65,are you positive,are you positive,eres positivo,es-tu positif,Bist du positiv
66,are you pregnant,are you pregnant,Estás embarazada,es-tu enceinte,bist du schwanger
67,are you still up,are you still up,sigues despierto,es-tu toujours debout,bist du noch auf
68,are you students,are you students,ustedes son estudiantes,êtes-vous étudiants,Seid ihr Schüler
69,are you studying,are you studying,estas estudiando,est-ce que tu étudies,studierst du
70,are you two busy,are you two busy,¿Están ustedes dos ocupados?,êtes-vous occupés tous les deux,seid ihr zwei beschäftigt
71,aren't you happy,are not you happy,no eres feliz,n'êtes-vous pas heureux,bist du nicht glücklich
72,aren't you tired,are not you tired,no estas cansado,N'es-tu pas fatigué,Bist du nicht müde
