,English,English_cleaned,Spanish,French,German
0,i want to join you,i want to join you,Quiero unirme a tí,je veux te rejoindre,ich möchte mich dir anschließen
1,i want to keep one,i want to keep one,quiero quedarme con uno,je veux en garder un,ich möchte einen behalten
2,i want to kiss tom,i want to kiss tom,quiero besar a tom,je veux embrasser tom,Ich möchte Tom küssen
3,i want to kiss you,i want to kiss you,quiero besarte,Je veux vous embrasser,ich will dich küssen
4,i want to know now,i want to know now,quiero saber ahora,je veux savoir maintenant,ich will es jetzt wissen
5,i want to know why,i want to know why,Quiero saber por qué,je veux savoir pourquoi,Ich will wissen warum
6,i want to meet tom,i want to meet tom,quiero conocer a tom,je veux rencontrer tom,Ich möchte Tom treffen
7,i want to see more,i want to see more,quiero ver más,Je veux voir plus,Ich will mehr sehen
8,i want to see them,i want to see them,quiero verlos,je veux les voir,Ich will sie sehen
9,i want to see this,i want to see this,quiero ver esto,je veux voir ça,Ich möchte das sehen
10,i want to sit down,i want to sit down,quiero sentarme,je veux m'asseoir,ich möchte mich hinsetzen
11,i want to talk now,i want to talk now,quiero hablar ahora,je veux parler maintenant,Ich möchte jetzt reden
12,i want to tell you,i want to tell you,Quiero decirte,Je tiens à vous dire,Ich möchte Ihnen sagen
13,i want to warn you,i want to warn you,quiero advertirte,je veux te prévenir,Ich möchte dich warnen
14,i want what's mine,i want what is mine,quiero lo mio,je veux ce qui est à moi,"Ich will, was mir gehört"
15,i want you to help,i want you to help,quiero que ayudes,je veux que tu m'aides,"Ich möchte, dass du hilfst"
16,i want you to sing,i want you to sing,quiero que cantes,je veux que tu chantes,"Ich möchte, dass du singst"
17,i want you to stop,i want you to stop,quiero que pares,je veux que tu arrêtes,"Ich möchte, dass du aufhörst"
18,i want you to talk,i want you to talk,quiero que hables,je veux que tu parles,"Ich möchte, dass du redest"
19,i wanted red shoes,i wanted red shoes,quería zapatos rojos,je voulais des chaussures rouges,Ich wollte rote Schuhe
20,i wanted to change,i wanted to change,quería cambiar,je voulais changer,ich wollte mich ändern
21,i wanted to say no,i wanted to say no,quería decir que no,je voulais dire non,ich wollte nein sagen
22,i was able to knit,i was able to knit,pude tejer,j'ai pu tricoter,Ich konnte stricken
23,i was almost right,i was almost right,casi tenía razón,j'avais presque raison,ich hatte fast recht
24,i was at home then,i was at home then,yo estaba en casa entonces,j'étais à la maison alors,da war ich zu hause
25,i was at the party,i was at the party,yo estaba en la fiesta,j'étais à la fête,Ich war auf der Party
26,i was born in 1960,i was born in 1960,nací en 1960,je suis né en 1960,Ich bin 1960 geboren
