,English,English_cleaned,Spanish,French,German
0,drink up your milk,drink up your milk,bebe tu leche,bois ton lait,trinke deine Milch
1,driving relaxes me,driving relaxes me,conducir me relaja,conduire me détend,Autofahren entspannt mich
2,dust off the shelf,dust off the shelf,quitar el polvo del estante,dépoussiérer l'étagère,Staub aus dem Regal
3,"easy come, easy go",easy come  easy go,"lo que fácil viene, fácil se va",c'est la vie,"Wie gewonnen, so zerronnen"
4,endorse this check,endorse this check,aprobar este cheque,endosser ce chèque,befürworten Sie diesen Scheck
5,enjoy your evening,enjoy your evening,disfruta tu noche,profite bien de ta soirée,genieße deinen Abend
6,enjoy your weekend,enjoy your weekend,disfruta tu fin de semana,Passe un bon weekend,geniesse dein Wochenende
7,even tom thinks so,even tom thinks so,incluso tom piensa eso,même tom le pense,sogar Tom denkt so
8,everybody gets old,everybody gets old,todo el mundo envejece,tout le monde vieillit,alle werden alt
9,everybody hates me,everybody hates me,todos me odian,tout le monde me déteste,Alle hassen mich
10,everybody is alive,everybody is alive,todo el mundo está vivo,tout le monde est vivant,alle leben
11,everybody is great,everybody is great,todo el mundo es genial,tout le monde est super,jeder ist großartig
12,everybody knows me,everybody knows me,todo el mundo me conoce,tout le monde me connaît,jeder kennt mich
13,everybody loves it,everybody loves it,todo el mundo lo ama,tout le monde l'aime,jeder liebt es
14,everybody panicked,everybody panicked,todos entraron en pánico,tout le monde a paniqué,alle gerieten in Panik
15,everybody sat down,everybody sat down,todos se sentaron,tout le monde s'est assis,alle setzten sich
16,everybody was here,everybody was here,todo el mundo estaba aquí,tout le monde était là,alle waren hier
17,everybody's crying,everybody s crying,todo el mundo está llorando,tout le monde pleure,alle weinen
18,everybody's in bed,everybody s in bed,todos en la cama,tout le monde est au lit,Alle liegen im Bett
19,everyone felt safe,everyone felt safe,todos se sintieron seguros,tout le monde se sentait en sécurité,alle fühlten sich sicher
20,everyone has voted,everyone has voted,todos han votado,tout le monde a voté,alle haben abgestimmt
21,everyone hates you,everyone hates you,todo el mundo te odia,tout le monde vous déteste,Jeder hasst dich
22,everyone hesitated,everyone hesitated,todos vacilaron,tout le monde a hésité,alle zögerten
23,everyone is scared,everyone is scared,todo el mundo tiene miedo,tout le monde a peur,alle haben angst
24,everyone is silent,everyone is silent,todo el mundo está en silencio,tout le monde est silencieux,alle schweigen
25,everyone is unique,everyone is unique,todo el mundo es único,tout le monde est unique,jeder ist einzigartig
26,everyone knew that,everyone knew that,todos sabían eso,tout le monde savait que,jeder wusste das
27,everyone liked tom,everyone liked tom,a todos les gustaba tom,tout le monde aimait tom,alle mochten tom
28,everyone likes her,everyone likes her,a todos les gusta ella,tout le monde l'aime,jeder mag sie
29,everyone likes him,everyone likes him,a todo el mundo le gusta,tout le monde l'aime,jeder mag ihn
30,everyone likes you,everyone likes you,a todos les gustas,tout le monde t'aime,jeder mag dich
31,everyone loves him,everyone loves him,todos lo aman,tout le monde l'aime,jeder liebt ihn
32,everyone should go,everyone should go,todos deberían ir,tout le monde devrait y aller,alle sollen gehen
33,everyone was alert,everyone was alert,todos estaban alerta,tout le monde était alerte,alle waren wachsam
34,everyone was happy,everyone was happy,todos estaban felices,tout le monde était heureux,jeder war glücklich
35,everyone was tense,everyone was tense,todos estaban tensos,tout le monde était tendu,alle waren angespannt
36,everyone was there,everyone was there,todo el mundo estaba allí,tout le monde était là,alle waren da
37,everyone's reading,everyone s reading,todo el mundo está leyendo,tout le monde lit,alle lesen
38,everyone's shocked,everyone s shocked,todos están conmocionados,tout le monde est choqué,alle sind geschockt
39,everything changed,everything changed,todo cambió,tout a changé,alles hat sich verändert
40,everything changes,everything changes,todo cambia,tout change,alles ändert sich
41,everything is fine,everything is fine,todo esta bien,tout va bien,alles ist gut
42,everything is gone,everything is gone,Todo se ha ido,tout est parti,alles ist weg
43,everything is good,everything is good,todo es bueno,Tout est bon,Alles ist gut
44,everything is over,everything is over,todo se termino,tout est fini,alles ist vorbei
45,everything matters,everything matters,Todo importa,tout compte,alles zählt
46,everything stopped,everything stopped,todo se detuvo,tout s'est arrêté,alles gestoppt
47,everything's ready,everything s ready,todo esta listo,tout est prêt,alles ist bereit
48,everything's wrong,everything s wrong,todo esta mal,tout est faux,alles ist falsch
49,excuse me a minute,excuse me a minute,discúlpame un minuto,excusez-moi une minute,Entschuldigen Sie mich eine Minute
50,explain that to me,explain that to me,explicame eso,explique moi ça,erkläre mir das
51,fill in the blanks,fill in the blanks,Rellenar los espacios en blanco,Remplir les espaces vides,fülle die Lücken aus
52,"fill it up, please",fill it up  please,"Llénelo, por favor","Faites le plein, s'il vous plaît",Tanken Sie es bitte voll
53,fill out this form,fill out this form,Complete éste formulario,remplissez ce formulaire,Fülle dieses Formular aus
54,find somebody else,find somebody else,encontrar a alguien más,trouver quelqu'un d'autre,jemanden anderen finden
55,first things first,first things first,lo primero es lo primero,Tout d'abord,das wichtigste zuerst
56,follow his example,follow his example,sigue su ejemplo,suivre son exemple,folgt seinem Beispiel
57,follow your desire,follow your desire,sigue tu deseo,suivez votre envie,folge deinem Verlangen
58,"for here, or to go",for here  or to go,para aqui o para llevar,pour ici ou pour aller,für hier oder zum Mitnehmen
59,forget i said that,forget i said that,olvida que dije eso,oublie que j'ai dit ça,"vergiss, dass ich das gesagt habe"
60,forget what i said,forget what i said,Olvida lo que dije,Oublie ce que j'ai dit,"Vergiss, was ich gesagt habe"
61,freedom isn't free,freedom is not free,la libertad no es gratuita,la liberté n'est pas gratuite,Freiheit ist nicht frei
62,get away from here,get away from here,Vete de aquí,Va-t-en d'ici,verschwinde von hier
63,get in the car now,get in the car now,entra en el coche ahora,monte dans la voiture maintenant,steig jetzt ins Auto
64,get it out of here,get it out of here,sácalo de aquí,sortez-le d'ici,hol es hier raus
