,English,English_cleaned,Spanish,French,German
0,i'm not from here,i am not from here,Yo no soy de aquí,je ne suis pas d'ici,ich bin nicht von hier
1,i'm not giving up,i am not giving up,no me estoy rindiendo,Je n'abandonne pas,ich gebe nicht auf
2,i'm not impressed,i am not impressed,no estoy impresionado,Je ne suis pas impressionné,ich bin nicht beeindruckt
3,i'm not in a rush,i am not in a rush,no tengo prisa,je ne suis pas pressé,Ich bin nicht in Eile
4,i'm not like that,i am not like that,Yo no soy así,Je ne suis pas comme ça,ich bin nicht so
5,i'm not like them,i am not like them,no soy como ellos,je ne suis pas comme eux,ich bin nicht wie sie
6,i'm not listening,i am not listening,no estoy escuchando,je n'écoute pas,Ich höre nicht zu
7,i'm not lying now,i am not lying now,no estoy mintiendo ahora,je ne mens pas maintenant,Ich lüge jetzt nicht
8,i'm not miserable,i am not miserable,no soy miserable,je ne suis pas malheureux,ich bin nicht unglücklich
9,i'm not panicking,i am not panicking,no estoy entrando en pánico,je ne panique pas,ich habe keine panik
10,i'm not persuaded,i am not persuaded,no estoy convencido,je ne suis pas persuadé,ich bin nicht überzeugt
11,i'm not ready yet,i am not ready yet,no estoy lista todavia,je ne suis pas encore prêt,Ich bin noch nicht fertig
12,i'm not satisfied,i am not satisfied,No estoy satisfecho,je ne suis pas satisfait,Ich bin nicht zufrieden
13,i'm not so normal,i am not so normal,no soy tan normal,je ne suis pas si normal,Ich bin nicht so normal
14,i'm not surprised,i am not surprised,no me sorprende,Je ne suis pas surpris,ich bin nicht überrascht
15,i'm not that fast,i am not that fast,no soy tan rapido,je ne suis pas si rapide,ich bin nicht so schnell
16,i'm not the coach,i am not the coach,no soy el entrenador,je ne suis pas l'entraîneur,Ich bin nicht der Trainer
17,i'm not the enemy,i am not the enemy,no soy el enemigo,je ne suis pas l'ennemi,Ich bin nicht der Feind
18,i'm not tired yet,i am not tired yet,todavía no estoy cansado,je ne suis pas encore fatigué,ich bin noch nicht müde
19,i'm not very busy,i am not very busy,no estoy muy ocupado,je ne suis pas très occupé,Ich bin nicht sehr beschäftigt
20,i'm not your baby,i am not your baby,no soy tu bebe,je ne suis pas ton bébé,Ich bin nicht dein Baby
21,i'm not your maid,i am not your maid,no soy tu sirvienta,je ne suis pas ta femme de ménage,Ich bin nicht dein Dienstmädchen
22,i'm now your boss,i am now your boss,ahora soy tu jefe,je suis maintenant votre patron,Ich bin jetzt dein Boss
23,i'm on my way out,i am on my way out,estoy saliendo,je suis sur le point de sortir,Ich bin auf dem Weg nach draußen
24,i'm on page three,i am on page three,estoy en la pagina tres,je suis à la page trois,Ich bin auf Seite drei
25,i'm on sick leave,i am on sick leave,Estoy de permiso médico,je suis en arrêt maladie,ich bin krank geschrieben
26,i'm out of breath,i am out of breath,estoy sin aliento,je suis à bout de souffle,Ich bin außer Atem
27,i'm over eighteen,i am over eighteen,tengo más de dieciocho,j'ai plus de dix-huit ans,Ich bin über achtzehn
28,i'm proud of that,i am proud of that,Estoy orgulloso de eso,je suis fier de ça,Darauf bin ich stolz
29,i'm quite serious,i am quite serious,soy bastante serio,je suis assez sérieux,Ich bin ziemlich ernst
30,i'm really hungry,i am really hungry,estoy realmente hambriento,J'ai vraiment faim,ich bin sehr hungrig
31,i'm really sleepy,i am really sleepy,tengo mucho sueño,j'ai vraiment sommeil,Ich bin wirklich müde
32,i'm right outside,i am right outside,estoy justo afuera,je suis juste dehors,Ich bin gleich draußen
33,i'm sick of lying,i am sick of lying,estoy harto de mentir,j'en ai marre de mentir,Ich habe es satt zu lügen
34,i'm so overworked,i am so overworked,estoy tan sobrecargado de trabajo,je suis tellement surmené,ich bin so überarbeitet
35,i'm sore all over,i am sore all over,me duele todo,j'ai mal partout,Ich bin überall wund
36,i'm sort of tired,i am sort of tired,estoy un poco cansado,je suis un peu fatigué,Ich bin irgendwie müde
37,i'm still at home,i am still at home,todavía estoy en casa,je suis toujours à la maison,Ich bin immer noch zu Hause
38,i'm still dubious,i am still dubious,sigo dudando,je suis encore dubitatif,ich bin immer noch am zweifeln
39,i'm still in town,i am still in town,todavía estoy en la ciudad,je suis toujours en ville,Ich bin immer noch in der Stadt
40,i'm still married,i am still married,todavía estoy casado,je suis toujours marié,Ich bin immer noch verheiratet
41,i'm still thirsty,i am still thirsty,todavía tengo sed,j'ai encore soif,ich bin immer noch durstig
42,i'm still waiting,i am still waiting,Todavía estoy esperando,J'attends toujours,Ich warte immernoch
43,i'm strong enough,i am strong enough,soy lo suficientemente fuerte,je suis assez fort,Ich bin stark genug
44,i'm such an idiot,i am such an idiot,soy tan idiota,je suis tellement idiot,Ich bin so ein Idiot
45,i'm taking a bath,i am taking a bath,Estoy tomando un baño,je prends un bain,Ich nehme ein Bad
