,English,English_cleaned,Spanish,French,German
0,he drives a truck,he drives a truck,él conduce un camión,il conduit un camion,er fährt einen lkw
1,he drives roughly,he drives roughly,él conduce bruscamente,il roule grossièrement,er fährt grob
2,he dropped a vase,he dropped a vase,se le cayó un jarrón,il a fait tomber un vase,er ließ eine Vase fallen
3,he earns a living,he earns a living,se gana la vida,il gagne sa vie,er verdient seinen Lebensunterhalt
4,he employs a maid,he employs a maid,él emplea a una criada,il emploie une femme de ménage,er beschäftigt ein Dienstmädchen
5,he exhaled loudly,he exhaled loudly,exhaló ruidosamente,il a expiré bruyamment,er atmete laut aus
6,he fills the bill,he fills the bill,el llena la cuenta,il remplit la facture,er füllt die Rechnung
7,he gave her a box,he gave her a box,le dio una caja,il lui a donné une boîte,Er gab ihr eine Kiste
8,he gave me a cold,he gave me a cold,me dio un resfriado,il m'a donné un rhume,er hat mich erkältet
9,he gave me a hint,he gave me a hint,me dio una pista,il m'a donné un indice,er hat mir einen tipp gegeben
10,he glanced at her,he glanced at her,él la miró,il la regarda,er sah sie an
11,he goes to school,he goes to school,el va a la escuela,il va à l'école,er geht zur Schule
12,he got me a watch,he got me a watch,me consiguió un reloj,il m'a offert une montre,Er hat mir eine Uhr besorgt
13,he got very drunk,he got very drunk,se emborrachó mucho,il s'est beaucoup saoulé,er wurde sehr betrunken
14,he got well again,he got well again,se puso bien de nuevo,il s'est rétabli,er ist wieder gesund geworden
15,he grabbed my arm,he grabbed my arm,me agarró del brazo,il m'a attrapé le bras,er packte mich am Arm
16,he had a new idea,he had a new idea,tuvo una nueva idea,il a eu une nouvelle idée,er hatte eine neue Idee
17,he had no coat on,he had no coat on,no tenia abrigo,il n'avait pas de manteau,er hatte keinen Mantel an
18,he had three sons,he had three sons,tuvo tres hijos,il avait trois fils,er hatte drei Söhne
19,he hanged himself,he hanged himself,se ahorcó,il s'est pendu,er hat sich erhängt
20,he has a few pens,he has a few pens,tiene algunas plumas,il a quelques stylos,Er hat ein paar Stifte
21,he has a headache,he has a headache,él tiene dolor de cabeza,il a mal a la tete,Er hat Kopfschmerzen
22,he has a huge ego,he has a huge ego,tiene un ego enorme,il a un énorme ego,er hat ein riesiges ego
23,he has blond hair,he has blond hair,El tiene cabello rubio,il a les cheveux blonds,er hat blondes Haar
24,he has brown eyes,he has brown eyes,el tiene ojos marrones,il a les yeux marrons,er hat braune Augen
25,he has curly hair,he has curly hair,él tiene el pelo rizado,Il a des cheveux bouclés,er hat lockiges Haar
26,he has green eyes,he has green eyes,El tiene ojos verdes,il a les yeux verts,er hat grüne Augen
27,he has no bicycle,he has no bicycle,no tiene bicicleta,il n'a pas de vélo,Er hat kein Fahrrad
28,he has no remorse,he has no remorse,no tiene remordimiento,il n'a aucun remords,er hat keine Reue
29,he has short hair,he has short hair,él tiene cabello corto,il a les cheveux courts,er hat kurzes Haar
30,he has small feet,he has small feet,tiene pies pequeños,il a de petits pieds,er hat kleine füße
31,he has three sons,he has three sons,tiene tres hijos,il a trois fils,er hat drei Söhne
32,he hates his life,he hates his life,odia su vida,il déteste sa vie,er hasst sein Leben
33,he hates shopping,he hates shopping,odia ir de compras,il déteste faire du shopping,er hasst shoppen
