,English,English_cleaned,Spanish,French,German
0,the woman is reading,the woman is reading,la mujer esta leyendo,la femme lit,Die Frau liest
1,their feet are dirty,their feet are dirty,sus pies están sucios,leurs pieds sont sales,Ihre Füße sind schmutzig
2,there are books here,there are books here,hay libros aquí,il y a des livres ici,hier gibt es Bücher
3,there are conditions,there are conditions,hay condiciones,il y a des conditions,Es gibt Bedingungen
4,there are exceptions,there are exceptions,hay excepciones,il y a des exceptions,Es gibt Ausnahmen
5,there are many rooms,there are many rooms,hay muchas habitaciones,il y a beaucoup de chambres,Es gibt viele Zimmer
6,there are no threats,there are no threats,no hay amenazas,il n'y a pas de menaces,es gibt keine Drohungen
7,there is a gold coin,there is a gold coin,hay una moneda de oro,il y a une pièce d'or,Es gibt eine Goldmünze
8,there is an antidote,there is an antidote,hay un antídoto,il y a un antidote,es gibt ein Gegenmittel
9,there is another way,there is another way,hay otra manera,il y a un autre moyen,es geht auch anders
10,there is no antidote,there is no antidote,no hay antídoto,il n'y a pas d'antidote,es gibt kein Gegenmittel
11,there is no schedule,there is no schedule,no hay horario,il n'y a pas d'horaire,Es gibt keinen Zeitplan
12,there is no solution,there is no solution,no hay solución,il n'y a pas de solution,es gibt keine Lösung
13,there is no tomorrow,there is no tomorrow,no hay mañana,il n'y a pas de demain,Es gibt kein Morgen
14,there is one vacancy,there is one vacancy,hay una vacante,il y a un poste vacant,es ist eine stelle frei
15,there isn't any hope,there is not any hope,no hay ninguna esperanza,il n'y a aucun espoir,es gibt keine hoffnung
16,there was no warning,there was no warning,no hubo advertencia,il n'y avait pas d'avertissement,es gab keine Warnung
17,there were no knives,there were no knives,no había cuchillos,il n'y avait pas de couteaux,es gab keine Messer
18,there were survivors,there were survivors,hubo sobrevivientes,il y avait des survivants,es gab Überlebende
19,there were two cakes,there were two cakes,había dos pasteles,il y avait deux gâteaux,Es gab zwei Kuchen
20,there's a car coming,there is a car coming,viene un coche,il y a une voiture qui arrive,da kommt ein auto
21,there's a difference,there is a difference,hay una diferencia,il existe une différence,da ist ein Unterschied
22,there's an emergency,there is an emergency,hay una emergencia,il y a urgence,es liegt ein Notfall vor
23,there's no food left,there is no food left,no queda comida,il n'y a plus de nourriture,es ist kein Essen mehr da
24,there's no harm done,there is no harm done,no hay daño hecho,il n'y a pas de mal fait,es ist kein Schaden entstanden
25,there's no milk left,there is no milk left,no queda leche,il n'y a plus de lait,es ist keine milch mehr da
26,there's no more salt,there is no more salt,no hay mas sal,il n'y a plus de sel,es gibt kein salz mehr
27,there's no more time,there is no more time,no hay mas tiempo,il n'y a plus de temps,es ist keine zeit mehr
28,there's no one there,there is no one there,No hay nadie allí,il n'y a personne,da ist niemand
29,there's no salt left,there is no salt left,no queda sal,il n'y a plus de sel,es ist kein salz mehr da
