,English,English_cleaned,Spanish,French,German
0,it's really bad,it is really bad,es realmente malo,c'est vraiment mauvais,es ist wirklich schlimm
1,it's really big,it is really big,es realmente grande,c'est vraiment grand,es ist wirklich groß
2,it's really fun,it is really fun,es muy divertido,C'est vraiment amusant,Es macht wirklich Spaß
3,it's really sad,it is really sad,es muy triste,c'est vraiment triste,es ist wirklich traurig
4,it's refreshing,it is refreshing,es refrescante,c'est rafraîchissant,es ist erfrischend
5,it's ridiculous,it is ridiculous,es ridículo,c'est ridicule,es ist lächerlich
6,it's so obvious,it is so obvious,es tan obvio,c'est tellement évident,es ist so offensichtlich
7,it's so strange,it is so strange,es tan extraño,c'est tellement étrange,es ist so seltsam
8,it's so typical,it is so typical,es tan tipico,c'est tellement typique,es ist so typisch
9,it's still dark,it is still dark,todavía está oscuro,il fait encore sombre,es ist noch dunkel
10,it's still mine,it is still mine,sigue siendo mio,c'est toujours le mien,es ist immer noch meins
11,it's still warm,it is still warm,todavía está caliente,il fait encore chaud,es ist noch warm
12,it's sufficient,it is sufficient,Es suficiente,c'est suffisant,es ist genug
13,it's tax season,it is tax season,es temporada de impuestos,c'est la saison des impôts,Es ist Steuersaison
14,it's terrifying,it is terrifying,es aterrador,c'est terrifiant,es ist erschreckend
15,it's time to go,it is time to go,Es tiempo de irse,c'est l'heure d'y aller,es ist Zeit zu gehen
16,it's too bright,it is too bright,es demasiado brillante,c'est trop clair,es ist zu hell
17,it's too narrow,it is too narrow,es demasiado estrecho,c'est trop étroit,es ist zu eng
18,it's very clean,it is very clean,Esta muy limpio,c'est très propre,es ist sehr sauber
19,it's very close,it is very close,esta muy cerca,c'est tout pres,es ist sehr nah
20,it's very early,it is very early,es muy temprano,il est très tôt,es ist sehr früh
21,it's very humid,it is very humid,esta muy humedo,il fait très humide,es ist sehr feucht
22,it's very risky,it is very risky,es muy arriesgado,c'est très risqué,es ist sehr riskant
23,it's very small,it is very small,es muy pequeño,c'est très petit,es ist sehr klein
24,it's very sweet,it is very sweet,es muy dulce,c'est très doux,Es ist sehr süß
25,it's your money,it is your money,es tu dinero,c'est votre argent,es ist dein Geld
26,jesus loves you,jesus loves you,Jesús te ama,Jésus t'aime,Jesus liebt dich
27,jobs are scarce,jobs are scarce,los trabajos son escasos,les emplois se font rares,Arbeitsplätze sind rar
28,just do the job,just do the job,solo haz el trabajo,fais juste le boulot,mach einfach die arbeit
29,just stay there,just stay there,solo quédate ahí,reste juste là,bleib einfach da
30,just try it out,just try it out,solo pruébalo,juste essayer,Probieren Sie es einfach aus
31,keep it in mind,keep it in mind,Tenlo en mente,Garde le en mémoire,Denk daran
32,keep on smiling,keep on smiling,seguir sonriendo,garder le sourire,bleib guter Dinge
33,keep the change,keep the change,Quédese con el cambio,Gardez la monnaie,Stimmt so
34,keep the secret,keep the secret,guardar el secreto,garde le secret,bewahre das Geheimnis
35,know your enemy,know your enemy,conoce a tu enemigo,connais ton ennemi,kenne deinen Feind
36,koalas are cute,koalas are cute,los koalas son lindos,les koalas sont mignons,Koalas sind süß
37,leave a comment,leave a comment,Deja un comentario,laissez un commentaire,Hinterlasse einen Kommentar
38,leave a message,leave a message,dejar un mensaje,laisser un message,hinterlass eine Nachricht
