,English,English_cleaned,Spanish,French,German
0,i went out for lunch,i went out for lunch,salí a almorzar,je suis sorti déjeuner,Ich ging zum Mittagessen aus
1,i went rock climbing,i went rock climbing,fui a escalar rocas,je suis allé faire de l'escalade,Ich war Klettern
2,i went to the market,i went to the market,Yo fui al Mercado,Je suis allé au marché,Ich bin auf den Markt gegangen
3,i will accompany you,i will accompany you,Yo te acompañaré,Je vais vous accompagner,ich werde dich begleiten
4,i will come with you,i will come with you,voy a ir contigo,je viendrai avec toi,ich werde mit dir kommen
5,i will do as you say,i will do as you say,Haré lo que dices,je ferai comme tu dis,"Ich werde tun, was du sagst"
6,i will give it a try,i will give it a try,Voy a darle una oportunidad,Je vais essayer,Ich werde es versuchen
7,i will have him come,i will have him come,haré que venga,je le ferai venir,Ich werde ihn kommen lassen
8,i will never see him,i will never see him,nunca lo veré,je ne le verrai jamais,Ich werde ihn nie sehen
9,i will show you some,i will show you some,te mostraré algunos,je vais vous en montrer,ich zeige dir welche
10,i will try next week,i will try next week,intentaré la próxima semana,je vais essayer la semaine prochaine,werde ich nächste woche versuchen
11,i wish i was kidding,i wish i was kidding,desearía estar bromeando,j'aimerais bien plaisanter,"Ich wünschte, ich mache Witze"
12,i wish i were a bird,i wish i were a bird,desearía ser un pájaro,j'aimerais être un oiseau,"Ich wünschte, ich wäre ein Vogel"
13,i wish i were clever,i wish i were clever,desearía ser inteligente,j'aimerais être intelligent,"Ich wünschte, ich wäre schlau"
14,i wish i were famous,i wish i were famous,me gustaria ser famoso,j'aimerais être célèbre,"Ich wünschte, ich wäre berühmt"
15,i wish i were taller,i wish i were taller,desearía ser más alto,j'aimerais être plus grand,"Ich wünschte, ich wäre größer"
16,i wish you good luck,i wish you good luck,Les deseo buena suerte,Je te souhaite bonne chance,Ich wünsche Dir viel Glück
17,i wish you happiness,i wish you happiness,deseo tu felicidad,Je te souhaite du bonheur,Ich wünsche dir Glück
18,i wish you were here,i wish you were here,Desearía que estuvieras aquí,J'aimerais que vous soyez ici,Ich wünschte Du wärest hier
19,i woke up at sunrise,i woke up at sunrise,me desperté al amanecer,je me suis réveillé au lever du soleil,Ich bin bei Sonnenaufgang aufgewacht
20,i won't be gone long,i will not be gone long,no me iré por mucho tiempo,je ne serai pas parti longtemps,Ich werde nicht lange weg sein
21,i won't let you down,i will not let you down,No te defraudaré,je ne vais pas vous laisser tomber,Ich werde Sie nicht enttäuschen
22,i won't let you jump,i will not let you jump,no te dejaré saltar,je ne te laisserai pas sauter,Ich lasse dich nicht springen
23,i won't pay for that,i will not pay for that,no voy a pagar por eso,je ne paierai pas pour ça,dafür werde ich nicht bezahlen
24,i won't say anything,i will not say anything,No diré nada,Je ne dirai rien,Ich werde nichts sagen
25,i won't say it again,i will not say it again,no lo diré de nuevo,je ne le dirai plus,Ich werde es nicht noch einmal sagen
26,i won't tell anybody,i will not tell anybody,no se lo dire a nadie,je ne le dirai à personne,ich werde es niemandem erzählen
27,i wonder who took it,i wonder who took it,me pregunto quien lo tomo,je me demande qui l'a pris,"Ich frage mich, wer es genommen hat"
28,i wore a white shirt,i wore a white shirt,llevaba una camisa blanca,je portais une chemise blanche,Ich trug ein weißes Hemd
29,i work in a hospital,i work in a hospital,trabajo en un hospital,je travaille dans un hôpital,Ich arbeite in einem Krankenhaus
30,i work in a pharmacy,i work in a pharmacy,trabajo en una farmacia,je travaille dans une pharmacie,ich arbeite in einer apotheke
31,i work with children,i work with children,trabajo con niños,je travaille avec des enfants,ich arbeite mit Kindern
32,"i worried, of course",i worried  of course,me preocupé por supuesto,je m'inquiétais bien sur,Ich habe mir natürlich Sorgen gemacht
33,i would like to draw,i would like to draw,me gustaria dibujar,je voudrais dessiner,ich möchte zeichnen
34,i wouldn't bet on it,i wouldn t bet on it,yo no apostaria por eso,je ne parierais pas dessus,darauf würde ich nicht wetten
35,i wouldn't mind that,i wouldn t mind that,no me importaría eso,ça ne me dérangerait pas,das würde mir nichts ausmachen
36,i'd be happy to help,i would be happy to help,Me gustaría ayudar,je serais heureux d'aider,Ich helfe gerne
37,i'd like to be alone,i would like to be alone,me gustaria estar solo,je voudrais être seul,Ich möchte allein sein
38,i'd like to help you,i would like to help you,Me gustaría ayudarte,J'aimerais t'aider,Ich würde dir gerne helfen
39,i'd like to join you,i would like to join you,me gustaría unirme a ti,je voudrais te rejoindre,Ich würde dir gerne beitreten
