,English,English_cleaned,Spanish,French,German
0,get off my back,get off my back,Déjame en paz,laisse moi tranquille,geh von meinem Rücken runter
1,get out of here,get out of here,sal de aquí,sors d'ici,raus hier
2,get rid of them,get rid of them,Deshazte de ellos,se débarrasser d'eux,Sie loswerden
3,get there early,get there early,llegar temprano,arriver tôt,komme früh dorthin
4,get your mother,get your mother,consigue a tu madre,prends ta mère,hol deine mutter
5,girls are crazy,girls are crazy,las chicas estan locas,les filles sont folles,Mädchen sind verrückt
6,give tom a call,give tom a call,dale a tom una llamada,appelez-moi,Ruf Tom an
7,give her a doll,give her a doll,dale una muñeca,donne lui une poupée,Gib ihr eine Puppe
8,give it to them,give it to them,dáselo a ellos,donne le leur,Gib es ihnen
9,give me a break,give me a break,Dáme un respiro,laisse-moi tranquille,gib mir eine Pause
10,give me a drink,give me a drink,Dame un trago,donne moi un verre,gib mir was zu trinken
11,give me a towel,give me a towel,dame una toalla,donne moi une serviette,Gib mir ein Handtuch
12,give me an hour,give me an hour,dame una hora,donne moi une heure,Gib mir eine Stunde
13,give me the key,give me the key,Dame la llave,donne moi la clé,gib mir den Schlüssel
14,give them to me,give them to me,damelos,donne les moi,Gib sie mir
15,go back to work,go back to work,vuelve al trabajo,retourner travailler,geh zurück an die Arbeit
16,go grab a drink,go grab a drink,ve a tomar un trago,allez prendre un verre,geh was trinken
17,go home quickly,go home quickly,vete a casa rapido,rentre vite chez toi,schnell nach Hause gehen
18,go make popcorn,go make popcorn,ve a hacer palomitas de maíz,va faire du pop-corn,geh Popcorn machen
19,go see a doctor,go see a doctor,ir a ver a un médico,va voir un médecin,geh zum arzt
20,go to the store,go to the store,ve a la tienda,aller au magasin,geh zu dem Laden
21,go to your room,go to your room,ve a tu cuarto,va dans ta chambre,geh in dein Zimmer
22,go wait outside,go wait outside,ve a esperar afuera,va attendre dehors,warte draußen
23,god sent a sign,god sent a sign,Dios envió una señal,Dieu a envoyé un signe,Gott hat ein Zeichen geschickt
24,grab the bottom,grab the bottom,agarrar el fondo,attrape le fond,greife nach unten
25,"great, isn't it",great  is not it,"genial, no",génial n'est-ce pas,toll nicht wahr
26,green suits you,green suits you,el verde te queda bien,le vert te va bien,grün steht dir
27,guys are stupid,guys are stupid,los chicos son estupidos,les gars sont stupides,Jungs sind dumm
28,hand me a towel,hand me a towel,pásame una toalla,donne moi une serviette,gib mir ein handtuch
29,has he come yet,has he come yet,¿Ha venido todavía?,est-il déjà venu,ist er schon gekommen
30,have a good day,have a good day,que tengas un buen día,passe une bonne journée,haben Sie einen guten Tag
31,have a nice day,have a nice day,que tengas un lindo día,Bonne journée,schönen Tag noch
32,have pity on us,have pity on us,ten piedad de nosotros,aie pitié de nous,hab Mitleid mit uns
33,he acts quickly,he acts quickly,él actúa rápidamente,il agit vite,er handelt schnell
34,he began to cry,he began to cry,comenzó a llorar,il a commencé à pleurer,er fing an zu weinen
35,he began to run,he began to run,empezó a correr,il a commencé à courir,er fing an zu rennen
36,he betrayed you,he betrayed you,el te traiciono,il t'a trahi,er hat dich verraten
37,he bought a car,he bought a car,compró un coche,il a acheté une voiture,er kaufte ein Auto
38,he bought a hat,he bought a hat,compró un sombrero,il a acheté un chapeau,Er kaufte einen Hut
39,he came running,he came running,vino corriendo,il est venu en courant,er kam angerannt
40,he can run fast,he can run fast,Él puede correr rápido,Il peut courir vite,er kann schnell rennen
41,he can't be ill,he cannot be ill,no puede estar enfermo,il ne peut pas être malade,er kann nicht krank sein
42,he did his best,he did his best,hizo lo mejor que pudo,il a fait de son mieux,er tat sein Bestes
43,he did it again,he did it again,lo hizo de nuevo,Il a recommencé,er hat es schon wieder getan
44,he does it fast,he does it fast,lo hace rapido,il le fait vite,er macht es schnell
45,he drank a beer,he drank a beer,bebió una cerveza,il a bu une bière,Er hat ein Bier getrunken
46,he drinks a lot,he drinks a lot,bebe mucho,il boit beaucoup,er trinkt viel
47,he gave up hope,he gave up hope,él perdió la esperanza,il a perdu espoir,er hat die Hoffnung aufgegeben
48,he got into bed,he got into bed,se metió en la cama,il s'est mis au lit,er ging ins bett
49,he got the ball,he got the ball,él consiguió la pelota,il a eu le ballon,er hat den Ball
50,he got very mad,he got very mad,se enojó mucho,il est devenu très fou,er wurde sehr wütend
51,he had ambition,he had ambition,el tenia ambicion,il avait de l'ambition,er hatte Ehrgeiz
52,he had no money,he had no money,no tenia dinero,il n'avait pas d'argent,er hatte kein Geld
53,he hardly works,he hardly works,casi no trabaja,il travaille peu,er arbeitet kaum
54,he has a toyota,he has a toyota,el tiene un toyota,il a une toyota,Er hat einen Toyota
55,he has a camera,he has a camera,el tiene una camara,il a un appareil photo,er hat eine Kamera
56,he has a hat on,he has a hat on,tiene un sombrero puesto,il porte un chapeau,er hat einen Hut auf
57,he has a racket,he has a racket,el tiene una raqueta,il a une raquette,er hat einen Schläger
58,he has gone mad,he has gone mad,se ha vuelto loco,il est devenu fou,er ist verrückt geworden
59,he has gone out,he has gone out,él ha salido,il est sorti,er ist ausgegangen
60,he has no money,he has no money,el no tiene dinero,il n'a pas d'argent,er hat kein Geld
61,he has ten cows,he has ten cows,tiene diez vacas,il a dix vaches,Er hat zehn Kühe
62,he has two cars,he has two cars,el tiene dos autos,il a deux voitures,Er hat zwei Autos
63,he has two cats,he has two cats,el tiene dos gatos,il a deux chats,er hat zwei katzen
64,he has two dogs,he has two dogs,el tiene dos perros,il a deux chiens,er hat zwei hunde
65,he hit me twice,he hit me twice,me golpeo dos veces,il m'a frappé deux fois,er hat mich zweimal geschlagen
66,he intrigues me,he intrigues me,el me intriga,il m'intrigue,er fasziniert mich
67,he is a bad boy,he is a bad boy,el es un chico malo,c'est un mauvais garçon,Er ist ein böser Junge
68,he is a dreamer,he is a dreamer,el es un soñador,c'est un rêveur,er ist ein Träumer
69,he is a painter,he is a painter,Él es un pintor,il est peintre,er ist ein Maler
70,he is a psychic,he is a psychic,él es un psíquico,c'est un médium,er ist ein Hellseher
71,he is a student,he is a student,él es estudiante,il est un étudiant,Er ist Student
72,he is a teacher,he is a teacher,Él es un maestro,Il est enseignant,er ist ein Lehrer
73,he is depressed,he is depressed,el esta deprimido,il est déprimé,Er ist depressiv
74,he is off today,he is off today,él está fuera hoy,il est absent aujourd'hui,er hat heute frei
75,he is unmarried,he is unmarried,el no esta casado,il est célibataire,er ist unverheiratet
76,he is very tall,he is very tall,él es muy alto,il est très grand,er ist sehr gross
77,he is well paid,he is well paid,esta bien pagado,il est bien payé,er ist gut bezahlt
78,he just arrived,he just arrived,acaba de llegar,il vient d'arriver,er ist gerade angekommen
79,he kept talking,he kept talking,siguió hablando,il a continué à parler,er redete weiter
80,he likes soccer,he likes soccer,le gusta el futbol,il aime le foot,er mag Fußball
81,he likes sweets,he likes sweets,le gustan los dulces,il aime les sucreries,er mag Süßigkeiten
82,he likes to run,he likes to run,a El le gusta correr,il aime courir,Er mag laufen
83,he looks gloomy,he looks gloomy,se ve sombrío,il a l'air sombre,er sieht düster aus
84,he looks strong,he looks strong,se ve fuerte,il a l'air fort,er sieht stark aus
85,he lost his job,he lost his job,él perdió su trabajo,il a perdu son travail,er verlor seinen Job
86,he loves coffee,he loves coffee,le encanta el cafe,il aime le café,er liebt Kaffee
87,he loves soccer,he loves soccer,le encanta el futbol,il aime le football,er liebt Fußball
88,he loves trains,he loves trains,le encantan los trenes,il aime les trains,er liebt Züge
89,he made a robot,he made a robot,hizo un robot,il a fait un robot,Er hat einen Roboter gebaut
90,he made her cry,he made her cry,el la hizo llorar,il l'a fait pleurer,Er brachte sie zum Weinen
91,he made me sing,he made me sing,el me hizo cantar,il m'a fait chanter,er brachte mich zum singen
92,he may be there,he may be there,él puede estar allí,il est peut être là,er kann da sein
93,he may not come,he may not come,puede que no venga,il peut ne pas venir,er darf nicht kommen
94,he mentioned it,he mentioned it,lo mencionó,il l'a mentionné,er erwähnte es
95,he missed class,he missed class,faltó a clase,il a raté la classe,er hat den Unterricht verpasst
96,he never laughs,he never laughs,el nunca se rie,il ne rit jamais,er lacht nie
97,he plays soccer,he plays soccer,el juega futbol,il joue au football,Er spielt Fußball
98,he puts on airs,he puts on airs,se da aires,il prend des airs,er legt sich auf
99,he said nothing,he said nothing,él no dijo nada,il ne dit rien,er sagte nichts
100,he sang off key,he sang off key,cantó fuera de tono,il a chanté faux,er sang falsch
101,he saved us all,he saved us all,nos salvó a todos,il nous a tous sauvé,er hat uns alle gerettet
102,he saw the girl,he saw the girl,vio a la chica,il a vu la fille,er sah das Mädchen
103,he seems honest,he seems honest,parece honesto,il a l'air honnête,er scheint ehrlich zu sein
104,he sells whisky,he sells whisky,el vende whisky,il vend du whisky,er verkauft Whisky
105,he sounds angry,he sounds angry,suena enojado,il a l'air en colère,er klingt wütend
106,he stared at me,he stared at me,el me miro,il m'a regardé,er starrte mich an
107,he studied hard,he studied hard,estudió duro,il a étudié dur,er hat fleißig gelernt
108,he swindled her,he swindled her,él la estafó,il l'a escroquée,er hat sie betrogen
109,he was cheating,he was cheating,el estaba engañando,il trichait,er hat geschummelt
110,he was outraged,he was outraged,estaba indignado,il s'est indigné,er war empört
111,he was speaking,he was speaking,Él estaba hablando,il parlait,er sprach
112,he was standing,he was standing,él estaba de pie,Il était debout,er stand
113,he was very fun,he was very fun,el fue muy divertido,il était très amusant,er war sehr lustig
114,he was very old,he was very old,el era muy viejo,il était très vieux,er war sehr alt
115,he went surfing,he went surfing,se fue a surfear,il est allé surfer,er ging surfen
116,he will also go,he will also go,el tambien ira,il ira aussi,er wird auch gehen
117,he will survive,he will survive,él sobrevivirá,il survivra,er wird überleben
118,he wore glasses,he wore glasses,usaba anteojos,il portait des lunettes,er trug eine Brille
119,he writes books,he writes books,el escribe libros,il écrit des livres,er schreibt Bücher
120,he's a bad liar,he is a bad liar,es un mal mentiroso,c'est un mauvais menteur,er ist ein schlechter Lügner
121,he's a comedian,he is a comedian,el es un comediante,c'est un comédien,er ist ein Komiker
122,he's a frat boy,he is a frat boy,el es un chico de fraternidad,c'est un garçon de fraternité,er ist ein Verbindungsjunge
123,he's a freshman,he is a freshman,él es un estudiante de primer año,c'est un étudiant de première année,er ist ein Neuling
124,he's a gardener,he is a gardener,el es un jardinero,il est jardinier,er ist Gärtner
125,he's a good boy,he is a good boy,el es un buen chico,C'est un bon garçon,Er ist ein guter Junge
126,he's a newcomer,he is a newcomer,él es un recién llegado,c'est un nouveau venu,er ist neuling
127,he's a real man,he is a real man,el es un hombre de verdad,c'est un vrai homme,Er ist ein richtiger Mann
128,he's a slowpoke,he is a slowpoke,el es un lento,c'est un lent,er ist ein Langweiler
129,he's a southpaw,he is a southpaw,el es un zurdo,c'est un gaucher,er ist ein Rechtsausleger
130,he's going bald,he is going bald,se esta quedando calvo,il devient chauve,er wird kahl
131,he's helping me,he is helping me,el me esta ayudando,il m'aide,er hilft mir
132,he's my husband,he is my husband,el es mi esposo,c'est mon mari,Er ist mein Ehemann
133,he's my partner,he is my partner,el es mi compañero,c'est mon partenaire,Er ist mein Partner
134,he's not a hero,he is not a hero,el no es un heroe,ce n'est pas un héros,er ist kein Held
135,he's not a liar,he is not a liar,el no es un mentiroso,ce n'est pas un menteur,er ist kein Lügner
136,he's not in yet,he is not in yet,el aun no esta,il n'est pas encore dedans,er ist noch nicht da
137,he's not stupid,he is not stupid,el no es tonto,il n'est pas stupide,er ist nicht dumm
138,he's on his way,he is on his way,él está en su camino,il est en route,er ist auf dem Weg
139,he's photogenic,he is photogenic,el es fotogenico,il est photogénique,er ist fotogen
140,he's right here,he is right here,el esta aqui,il est ici,er ist gleich hier
141,he's very timid,he is very timid,el es muy timido,il est très timide,er ist sehr schüchtern
142,he's wide awake,he is wide awake,él está completamente despierto,il est bien éveillé,er ist hellwach
143,"help me, please",help me  please,ayudame por favor,aidez moi s'il vous plait,Hilf mir bitte
144,"help us, please",help us  please,Ayudanos por favor,Aidez-nous s'il-vous-plaît,Hilf uns bitte
145,her father died,her father died,su padre murió,son père est mort,ihr Vater starb
146,here i am again,here i am again,Aquí estoy otra vez,me voici de nouveau,hier bin ich wieder
147,here is the map,here is the map,aquí está el mapa,voici la carte,Hier ist die Karte
148,here's the bill,here s the bill,aquí está la cuenta,Voici la facture,hier ist die rechnung
149,here's the plan,here s the plan,aquí está el plan,voici le plan,Hier ist der Plan
150,"here, take this",here  take this,ten esto,tiens prends ça,hier nimm das
