,English,English_cleaned,Spanish,French,German
0,it was worth trying,it was worth trying,valió la pena intentarlo,ça valait la peine d'essayer,Es war einen Versuch wert
1,it was your mistake,it was your mistake,fue tu error,c'était ton erreur,es war dein Fehler
2,it wasn't a bad day,it was not a bad day,no fue un mal dia,ce n'était pas une mauvaise journée,es war kein schlechter Tag
3,it wasn't a request,it was not a request,no fue un pedido,ce n'était pas une demande,es war keine Bitte
4,it wasn't expensive,it was not expensive,no fue caro,ce n'était pas cher,es war nicht teuer
5,it wasn't just luck,it was not just luck,no fue solo suerte,ce n'était pas que de la chance,es war nicht nur Glück
6,it wasn't just that,it was not just that,no fue solo eso,ce n'était pas que ça,es war nicht nur das
7,it wasn't that cold,it was not that cold,no estaba tan frio,il ne faisait pas si froid,es war nicht so kalt
8,it worked perfectly,it worked perfectly,funcionó perfectamente,ça a parfaitement fonctionné,es funktionierte perfekt
9,it works like magic,it works like magic,funciona como magia,ça marche comme par magie,es funktioniert wie Magie
10,it would be perfect,it would be perfect,seria perfecto,ce serait parfait,Es wäre perfekt
11,it'll be no problem,it will be no problem,no habrá problema,ce ne sera pas un problème,Es wird kein Problem sein
12,it'll be our secret,it will be our secret,Será nuestro secreto,ce sera notre secret,es wird unser Geheimnis sein
13,it'll cause trouble,it will cecause trouble,causará problemas,ça va causer des problèmes,es wird Ärger geben
14,it'll come in handy,it will come in handy,Sera util,ça va être utile,es wird sich als nützlich erweisen
15,it'll probably rain,it will probably rain,probablemente lloverá,il va probablement pleuvoir,es wird wahrscheinlich regnen
16,it'll rain for sure,it will rain for sure,lloverá seguro,il va pleuvoir c'est sûr,es wird sicher regnen
17,it'll snow tomorrow,it will snow tomorrow,Va a nevar mañana,il neigera demain,Es wird morgen schneien
18,it's saturday today,it is saturday today,hoy es sabado,c'est samedi aujourd'hui,heute ist samstag
19,it's a big decision,it is a big decision,es una gran decisión,c'est une grande décision,Es ist eine große Entscheidung
20,it's a brain-teaser,it is a brain teaser,es un rompecabezas,c'est un casse-tête,es ist eine Denksportaufgabe
21,it's a comedy movie,it is a comedy movie,es una pelicula de comedia,c'est un film comique,es ist eine Filmkomödie
22,it's a dreary place,it is a dreary place,es un lugar triste,c'est un endroit triste,Es ist ein trostloser Ort
23,it's a gorgeous day,it is a gorgeous day,es un dia hermoso,c'est une journée magnifique,Es ist ein herrlicher Tag
24,it's a group effort,it is a group effort,es un esfuerzo de grupo,c'est un travail de groupe,es ist eine Gruppenanstrengung
25,it's a huge mistake,it is a huge mistake,es un gran error,c'est une énorme erreur,es ist ein großer Fehler
26,it's a huge problem,it is a huge problem,es un gran problema,c'est un énorme problème,Es ist ein riesiges Problem
27,it's a little dated,it is a little dated,esta un poco anticuado,ça date un peu,es ist ein wenig veraltet
28,it's a little nasty,it is a little nasty,es un poco desagradable,c'est un peu méchant,es ist ein bisschen böse
29,it's a little scary,it is a little scary,da un poco de miedo,c'est un peu effrayant,es ist ein wenig beängstigend
30,it's a nice thought,it is a nice thought,es un lindo pensamiento,c'est une belle pensée,es ist ein schöner Gedanke
31,it's a perfect trap,it is a perfect trap,es una trampa perfecta,c'est un piège parfait,es ist eine perfekte Falle
32,it's a popular idea,it is a popular idea,es una idea popular,c'est une idée populaire,es ist eine beliebte Idee
33,it's a real bargain,it is a real bargain,es una verdadera ganga,c'est une vraie aubaine,Es ist ein echtes Schnäppchen
34,it's a slippery one,it is a slippery one,es uno resbaladizo,c'est glissant,es ist rutschig
35,it's a world record,it is a world record,es un récord mundial,c'est un record du monde,es ist Weltrekord
36,it's after midnight,it is after midnight,es después de la medianoche,il est minuit passé,es ist nach Mitternacht
37,it's all a big joke,it is all a big joke,todo es una gran broma,tout est une grosse blague,es ist alles ein großer Witz
38,it's all new for me,it is all new for me,todo es nuevo para mi,tout est nouveau pour moi,es ist alles neu für mich
39,it's all or nothing,it is all or nothing,Es todo o nada,C'est tout ou rien,es geht um alles oder nichts
40,it's all your fault,it is all your fault,todo es tu culpa,tout est de ta faute,es ist alles deine Schuld
41,it's already eleven,it is already eleven,ya son las once,il est déjà onze heures,es ist schon elf
