,English,English_cleaned,Spanish,French,German
0,tom stutters,tom stutters,tom tartamudea,tom bégaie,Tom stottert
1,tom was poor,tom was poor,tom era pobre,Tom était pauvre,Tom war arm
2,tom was safe,tom was safe,tom estaba a salvo,tom était en sécurité,Tom war in Sicherheit
3,tom was shot,tom was shot,Tom recibió un disparo,Tom a été abattu,Tom wurde erschossen
4,tom will cry,tom will cry,tom va a llorar,tom va pleurer,Tom wird weinen
5,tom's afraid,tom's afraid,tom tiene miedo,tom a peur,Tom hat Angst
6,tom's asleep,tom's asleep,tom esta dormido,Tom dort,Tom schläft
7,tom's coming,tom's coming,viene tom,tom arrive,Tom kommt
8,tom's eating,tom's eating,Tom está comiendo,Tom mange,Tom isst
9,tom's famous,tom's famous,el famoso de tom,Tom est célèbre,Tom ist berühmt
10,tom's guilty,tom's guilty,tom es culpable,tom est coupable,Tom ist schuldig
11,tom's hungry,tom's hungry,tom tiene hambre,Tom a faim,Tom hat Hunger
12,tom's polite,tom's polite,Tom es educado,Tom est poli,Tom ist höflich
13,tom's scared,tom's scared,Tom está asustado,tom a peur,Tom hat Angst
14,tom's stoned,tom's stoned,tom está drogado,Tom est défoncé,Tom ist stoned
15,trust no one,trust no one,no confíes en nadie,ne fais confiance a personne,Traue niemandem
16,try it again,try it again,Pruébalo otra vez,Essayez à nouveau,Versuche es noch einmal
17,try to sleep,try to sleep,tratar de dormir,essaye de dormir,Versuch zu schlafen
18,unbelievable,unbelievable,increíble,incroyable,nicht zu fassen
19,use them all,use them all,úsalos todos,utilisez-les tous,benutze sie alle
20,wait a while,wait a while,espera un momento,Attends un moment,Warte eine Weile
21,wait for tom,wait for tom,espera a tom,attend tom,warte auf Tom
22,wait outside,wait outside,espera afuera,attendre dehors,draußen warten
23,"wake up, tom","wake up, tom","despierta, tom",réveille toi tom,"wach auf, tom"
24,walk with us,walk with us,camina con nosotros,marche avec nous,geh mit uns
25,want a drink,want a drink,quiero una bebida,veux boire un verre,Wollen sie einen Drink
26,was it funny,was it funny,Fué divertido,était-ce drôle,war es lustig
27,we all cried,we all cried,todos lloramos,nous avons tous pleuré,wir haben alle geweint
28,we apologize,we apologize,Pedimos disculpas,nous nous excusons,wir entschuldigen uns
29,we are arabs,we are arabs,somos arabes,nous sommes des arabes,wir sind araber
30,we are happy,we are happy,estamos felices,nous sommes heureux,wir sind glücklich
31,we can't win,we cannot win,no podemos ganar,nous ne pouvons pas gagner,wir können nicht gewinnen
32,we could die,we could die,podríamos morir,nous pourrions mourir,wir könnten sterben
33,we felt good,we felt good,nos sentimos bien,nous nous sommes sentis bien,wir fühlten uns gut
34,we get on ok,we get on ok,nos llevamos bien,on s'entend bien,wir verstehen uns gut
35,we got lucky,we got lucky,tuvimos suerte,nous avons eu de la chance,wir haben Glück
36,we got ready,we got ready,nos preparamos,nous sommes préparés,wir haben uns fertig gemacht
37,we have hope,we have hope,tenemos esperanza,nous avons de l'espoir,wir haben hoffnung
38,we have room,we have room,tenemos espacio,nous avons de la place,wir haben platz
39,we have wine,we have wine,tenemos vino,nous avons du vin,Wir haben Wein
40,we knew that,we knew that,sabíamos que,nous savions que,das wussten wir
41,we live here,we live here,vivimos aquí,nous vivons ici,Wir leben hier
42,we love them,we love them,nosotros los amamos,nous les aimons,wir lieben sie
43,we loved you,we loved you,Te amábamos,nous t'aimions,wir haben dich geliebt
44,we met today,we met today,nos conocimos hoy,nous nous sommes rencontrés aujourd'hui,wir haben uns heute getroffen
45,we might die,we might die,podríamos morir,nous pourrions mourir,wir könnten sterben
46,we must obey,we must obey,debemos obedecer,nous devons obéir,wir müssen gehorchen
47,we must talk,we must talk,debemos hablar,nous devons parler,wir müssen reden
48,we must wait,we must wait,debemos esperar,nous devons attendre,wir müssen warten
49,we need both,we need both,necesitamos ambos,nous avons besoin des deux,wir brauchen beides
50,we need help,we need help,necesitamos ayuda,nous avons besoin d'aide,wir brauchen Hilfe
51,we need more,we need more,Necesitamos más,Nous avons besoin de plus,Wir brauchen mehr
52,we need rest,we need rest,necesitamos descansar,nous avons besoin de repos,wir brauchen ruhe
53,we need time,we need time,nosotros necesitamos tiempo,nous avons besoin de temps,wir brauchen Zeit
