,English,English_cleaned,Spanish,French,German
0,i can't protect you,i cannot protect you,no puedo protegerte,je ne peux pas te protéger,Ich kann dich nicht beschützen
1,i can't read french,i cannot read french,no puedo leer francés,je ne peux pas lire le français,ich kann französisch nicht lesen
2,i can't remember it,i cannot remember it,No puedo recordarlo,je ne m'en souviens pas,ich erinnere mich nicht daran
3,i can't see a thing,i cannot see a thing,No puedo ver nada,je ne peux rien voir,Ich kann nichts sehen
4,i can't stand liars,i cannot stand liars,no soporto a los mentirosos,je ne supporte pas les menteurs,Ich kann Lügner nicht ausstehen
5,i can't stop crying,i cannot stop crying,No puedo dejar de llorar,je ne peux pas arrêter de pleurer,Ich kann nicht aufhören zu weinen
6,i can't stop myself,i cannot stop myself,no puedo detenerme,je ne peux pas m'en empêcher,ich kann mir nicht helfen
7,i can't swim at all,i cannot swim at all,no puedo nadar en absoluto,je ne sais pas du tout nager,Ich kann überhaupt nicht schwimmen
8,i can't talk to tom,i cannot talk to tom,no puedo hablar con tom,je ne peux pas lui parler,Ich kann nicht mit Tom sprechen
9,i can't wait to die,i cannot wait to die,no puedo esperar a morir,je ne peux pas attendre de mourir,Ich kann es kaum erwarten zu sterben
10,i cannot excuse her,i cannot excuse her,no puedo disculparla,je ne peux pas l'excuser,ich kann sie nicht entschuldigen
11,i cannot follow you,i cannot follow you,no puedo seguirte,je ne peux pas te suivre,ich kann dir nicht folgen
12,i checked the gauge,i checked the gauge,revisé el calibre,j'ai vérifié la jauge,Ich habe das Messgerät überprüft
13,i cleared the table,i cleared the table,limpié la mesa,j'ai débarrassé la table,Ich habe den Tisch abgeräumt
14,i collect postcards,i collect postcards,yo colecciono postales,je collectionne les cartes postales,Ich sammle Postkarten
15,i come home at 2:30,i come home at 2 30,llego a casa a las 2 30,je rentre à 2h30,ich komme um 2 30 nach hause
16,i completely forgot,i completely forgot,lo olvide por completo,J'ai complètement oublié,Ich habe ganz vergessen
17,i continued reading,i continued reading,seguí leyendo,j'ai continué à lire,ich las weiter
18,i continued singing,i continued singing,seguí cantando,j'ai continué à chanter,ich sang weiter
19,i continued working,i continued working,seguí trabajando,j'ai continué à travailler,ich arbeitete weiter
20,i cooked him dinner,i cooked him dinner,le preparé la cena,je lui ai préparé le dîner,Ich habe ihm Abendessen gekocht
21,i could eat a horse,i could eat a horse,podría comerme un caballo,J'ai une faim de loup,Ich könnte ein Pferd essen
22,i could say nothing,i could say nothing,no pude decir nada,je ne pouvais rien dire,ich konnte nichts sagen
23,i could use a drink,i could use a drink,me vendría bien una bebida,je pourrais boire un verre,Ich könnte einen Drink gebrauchen
24,i couldn't hear tom,i could not hear tom,no pude escuchar a tom,je ne pouvais pas entendre tom,Ich konnte Tom nicht hören
25,i couldn't help tom,i could not help tom,no pude ayudar a tom,je ne pouvais pas aider tom,Ich konnte Tom nicht helfen
26,i cried all morning,i cried all morning,lloré toda la mañana,j'ai pleuré toute la matinée,Ich habe den ganzen Morgen geweint
27,i cried like a baby,i cried like a baby,lloré como un bebé,j'ai pleuré comme un bébé,Ich habe geweint wie ein Baby
28,i decided not to go,i decided not to go,decidí no ir,j'ai décidé de ne pas y aller,"Ich beschloss, nicht zu gehen"
29,i decorated my room,i decorated my room,decoré mi habitación,j'ai décoré ma chambre,Ich habe mein Zimmer dekoriert
30,i deserve happiness,i deserve happiness,merezco la felicidad,je mérite le bonheur,Ich verdiene Glück
31,i did as i was told,i did as i was told,hice lo que me dijeron,j'ai fait comme on m'a dit,ich tat wie mir gesagt wurde
32,i did it in a hurry,i did it in a hurry,lo hice a toda prisa,je l'ai fait en vitesse,Ich habe es in Eile gemacht
33,i did it many times,i did it many times,lo hice muchas veces,je l'ai fait plusieurs fois,Ich habe es viele Male gemacht
34,i did no such thing,i did no such thing,no hice tal cosa,Je n'ai rien fait de tel,Ich habe nichts dergleichen getan
35,i did nothing wrong,i did nothing wrong,No hice nada malo,j'ai rien fait de mal,ich habe nichts falsch gemacht
36,i did see something,i did see something,vi algo,j'ai vu quelque chose,Ich habe etwas gesehen
37,i did some checking,i did some checking,Hice algunas comprobaciones,j'ai fait quelques vérifications,Ich habe etwas überprüft
38,i did some research,i did some research,investigué un poco,j'ai fait des recherches,Ich habe etwas recherchiert
39,i did something bad,i did something bad,hice algo malo,j'ai fait quelque chose de mal,ich habe etwas Schlechtes getan
40,i did that ages ago,i did that ages ago,lo hice hace años,je l'ai fait il y a longtemps,das habe ich vor ewigkeiten gemacht
41,i did that one time,i did that one time,yo hice eso una vez,je l'ai fait une fois,ich habe das einmal gemacht
42,i did what i had to,i did what i had to,hice lo que tenia que hacer,j'ai fait ce que je devais,"Ich habe getan, was ich tun musste"
43,i didn't eat enough,i did not eat enough,no comí lo suficiente,je n'ai pas assez mangé,Ich habe nicht genug gegessen
44,i didn't expect you,i did not expect you,no te esperaba,je ne t'attendais pas,Ich habe nicht mit dir gerechnet
45,i didn't have a key,i did not have a key,no tenia llave,je n'avais pas de clé,Ich hatte keinen Schlüssel
46,i didn't have to go,i did not have to go,No tengo que ir,je n'avais pas à y aller,Ich musste nicht gehen
47,i didn't invite tom,i did not invite tom,no invité a tom,je n'ai pas invité tom,Ich habe Tom nicht eingeladen
48,i didn't look at it,i did not look at it,no lo miré,je ne l'ai pas regardé,ich habe es mir nicht angeschaut
49,i didn't order rice,i did not order rice,no pedí arroz,je n'ai pas commandé de riz,Reis habe ich nicht bestellt
