,English,English_cleaned,Spanish,French,German
0,this is old news,this is old news,esta es una noticia vieja,c'est une vieille nouvelle,das sind alte Nachrichten
1,this is our home,this is our home,esta es nuestra casa,C'est notre maison,das ist unser Zuhause
2,this is personal,this is personal,esto es personal,c'est personnel,das ist persönlich
3,this is possible,this is possible,Esto es posible,c'est possible,Das ist möglich
4,this is puzzling,this is puzzling,esto es desconcertante,c'est déroutant,das ist rätselhaft
5,this is red wine,this is red wine,esto es vino tinto,c'est du vin rouge,das ist Rotwein
6,this is relaxing,this is relaxing,esto es relajante,c'est relaxant,das entspannt
7,this is required,this is required,Esto es requerido,Ceci est nécessaire,Dies ist erforderlich
8,this is sabotage,this is sabotage,esto es sabotaje,c'est du sabotage,das ist sabotage
9,this is shameful,this is shameful,esto es vergonzoso,c'est honteux,das ist beschämend
10,this is so crazy,this is so crazy,esto es tan loco,c'est tellement fou,das ist so verrückt
11,this is terrible,this is terrible,este es terrible,c'est terrible,das ist fürchterlich
12,this is the norm,this is the norm,esta es la norma,c'est la norme,das ist die Norm
13,this is too hard,this is too hard,Esto es muy dificil,c'est trop dur,das ist zu schwer
14,this is too long,this is too long,Esto es demasiado largo,C'est trop long,Dies ist zu lang
15,this is too much,this is too much,Esto es demasiado,c'est trop,das ist zu viel
16,this is your dog,this is your dog,este es su perro,c'est ton chien,das ist dein Hund
17,this is your key,this is your key,esta es tu llave,c'est ta clé,das ist dein Schlüssel
18,this isn't funny,this is not funny,esto no es divertido,ce n'est pas drôle,das ist nicht lustig
19,this isn't legal,this is not legal,esto no es legal,ce n'est pas légal,das ist nicht legal
20,this isn't money,this is not money,esto no es dinero,ce n'est pas de l'argent,das ist kein geld
21,this isn't music,this is not music,esto no es musica,ce n'est pas de la musique,das ist keine musik
22,this isn't sugar,this is not sugar,esto no es azucar,ce n'est pas du sucre,das ist kein Zucker
23,this made me sad,this made me sad,esto me puso triste,cela m'a rendu triste,das hat mich traurig gemacht
24,this makes sense,this makes sense,Esto tiene sentido,c'est logique,das macht Sinn
25,this one is ours,this one is ours,este es nuestro,celui-ci est à nous,dieser ist unser
26,this one's on me,this one s on me,este es para mi,celui-ci est sur moi,Der geht auf mich
27,this pen is mine,this pen is mine,este bolígrafo es mío,ce stylo est à moi,dieser Stift gehört mir
28,this seat's free,this seat s free,Está vacío este asiento,ce siège est gratuit,Dieser Sitz ist frei
29,this seems risky,this seems risky,esto parece arriesgado,cela semble risqué,das scheint riskant
30,this smells good,this smells good,esto huele bien,ça sent bon,das riecht gut
31,this tastes good,this tastes good,Esto sabe bien,c'est bon,das schmeckt gut
32,this was my idea,this was my idea,esta fue mi idea,c'était mon idée,das war meine idee
33,those are my cds,those are my cds,esos son mis cds,ce sont mes cd,das sind meine cds
34,tom almost cried,tom almost cried,tom casi llora,Tom a presque pleuré,Tom hätte fast geweint
35,tom ate my lunch,tom ate my lunch,tom comió mi almuerzo,Tom a mangé mon déjeuner,Tom hat mein Mittagessen gegessen
36,tom avoided mary,tom avoided mary,Tom evitó a María,tom a évité marie,Tom mied Mary
37,tom bought a gun,tom bought a gun,tom compro un arma,Tom a acheté une arme,Tom kaufte eine Waffe
38,tom brought that,tom brought that,tom trajo eso,Tom a apporté ça,Tom hat das mitgebracht
39,tom built a raft,tom built a raft,tom construyó una balsa,Tom a construit un radeau,Tom hat ein Floß gebaut
40,tom can run fast,tom can run fast,Tom puede correr rápido,tom peut courir vite,Tom kann schnell laufen
41,tom can't see us,tom cannot see us,tom no puede vernos,tom ne peut pas nous voir,Tom kann uns nicht sehen
42,tom changed jobs,tom changed jobs,Tom cambió de trabajo,Tom a changé d'emploi,Tom hat den Job gewechselt
43,tom clearly lied,tom clearly lied,Tom claramente mintió,Tom a clairement menti,Tom hat eindeutig gelogen
44,tom cooks for us,tom cooks for us,tom cocina para nosotros,tom cuisine pour nous,Tom kocht für uns
45,tom coughs a lot,tom coughs a lot,tom tose mucho,Tom tousse beaucoup,Tom hustet viel
46,tom didn't laugh,tom did not laugh,tom no se rio,Tom n'a pas ri,Tom lachte nicht
47,tom died at home,tom died at home,tom murió en casa,Tom est mort à la maison,Tom ist zu Hause gestorben
48,tom died from tb,tom died from tb,tom murio de tuberculosis,Tom est mort de la tuberculose,Tom starb an Tuberkulose
49,tom died in 2003,tom died in 2003,tom murió en 2003,tom est mort en 2003,Thomas starb 2003
50,tom doesn't know,tom does not know,tom no sabe,Tom ne sait pas,Tom weiß es nicht
51,tom doesn't read,tom does not read,tom no lee,tom ne lit pas,Tom liest nicht
52,tom drinks a lot,tom drinks a lot,tom bebe mucho,tom boit beaucoup,Tom trinkt viel
